t,dt,desired_v,left,right,distance,state
0.000,0.000,0.60,1.00,1.00,1.00,Run
0.012,0.012,0.60,-0.43,-0.43,1.00,Run
0.025,0.013,0.60,1.00,1.00,1.00,Run
0.037,0.013,0.60,-0.39,-0.39,1.00,Run
0.050,0.013,0.60,1.00,1.00,1.00,Run
0.062,0.013,0.60,-0.38,-0.38,1.00,Run
0.075,0.013,0.60,0.99,0.99,1.00,Run
0.087,0.013,0.60,-0.38,-0.38,1.00,Run
0.100,0.013,0.60,0.98,0.98,1.00,Run
0.113,0.013,0.60,-0.35,-0.35,1.00,Run
0.125,0.013,0.60,0.97,0.97,1.00,Run
0.138,0.013,0.60,-0.35,-0.35,1.00,Run
0.150,0.013,0.60,0.97,0.97,1.00,Run
0.163,0.013,0.60,-0.34,-0.34,1.00,Run
0.175,0.013,0.60,0.97,0.97,1.00,Run
0.188,0.013,0.60,-0.33,-0.33,1.00,Run
0.201,0.013,0.60,0.97,0.97,1.00,Run
0.213,0.013,0.60,-0.33,-0.33,1.00,Run
0.226,0.013,0.60,0.97,0.97,1.00,Run
0.238,0.012,0.60,-0.35,-0.35,1.00,Run
0.250,0.012,0.60,1.00,1.00,1.00,Run
0.262,0.012,0.60,-0.36,-0.36,1.00,Run
0.275,0.013,0.60,1.00,1.00,1.00,Run
0.287,0.013,0.60,-0.35,-0.35,1.00,Run
0.300,0.013,0.60,1.00,1.00,1.00,Run
0.313,0.013,0.60,-0.35,-0.35,1.00,Run
0.325,0.013,0.60,1.00,1.00,1.00,Run
0.338,0.013,0.60,-0.34,-0.34,1.00,Run
0.350,0.013,0.60,1.00,1.00,1.00,Run
0.362,0.012,0.60,-0.35,-0.35,1.00,Run
0.375,0.012,0.60,1.00,1.00,1.00,Run
0.387,0.013,0.60,-0.34,-0.34,1.00,Run
0.398,0.011,0.60,1.00,1.00,1.00,Run
0.411,0.013,0.60,-0.33,-0.33,1.00,Run
0.424,0.013,0.60,1.00,1.00,1.00,Run
0.436,0.012,0.60,-0.34,-0.34,1.00,Run
0.448,0.013,0.60,1.00,1.00,1.00,Run
0.461,0.013,0.60,-0.33,-0.33,1.00,Run
0.472,0.011,0.60,1.00,1.00,1.00,Run
0.485,0.013,0.60,-0.32,-0.32,1.00,Run
0.497,0.013,0.60,1.00,1.00,1.00,Run
0.510,0.013,0.60,-0.32,-0.32,1.00,Run
0.522,0.012,0.60,1.00,1.00,1.00,Run
0.535,0.013,0.60,-0.32,-0.32,1.00,Run
0.547,0.012,0.60,1.00,1.00,1.00,Run
0.560,0.013,0.60,-0.31,-0.31,1.00,Run
0.572,0.013,0.60,1.00,1.00,1.00,Run
0.582,0.010,0.60,-0.44,-0.44,1.00,Run
0.595,0.012,0.60,1.00,1.00,1.00,Run
0.607,0.012,0.60,-0.31,-0.31,1.00,Run
0.620,0.013,0.60,1.00,1.00,1.00,Run
0.632,0.013,0.60,-0.30,-0.30,1.00,Run
0.645,0.013,0.60,1.00,1.00,1.00,Run
0.657,0.012,0.60,-0.31,-0.31,1.00,Run
0.670,0.013,0.60,1.00,1.00,1.00,Run
0.681,0.012,0.60,-0.34,-0.34,1.00,Run
0.692,0.011,0.60,1.00,1.00,1.00,Run
