t,dt,desired_v,left,right,distance,state
0.000,0.000,0.80,1.00,1.00,1.00,Run
0.025,0.025,0.80,0.21,0.21,1.00,Run
0.050,0.025,0.80,0.61,0.61,1.00,Run
0.072,0.022,0.80,0.35,0.35,1.00,Run
0.097,0.025,0.80,0.50,0.50,1.00,Run
0.122,0.025,0.80,0.41,0.41,1.00,Run
0.147,0.025,0.80,0.46,0.46,1.00,Run
0.172,0.025,0.80,0.43,0.43,1.00,Run
0.196,0.025,0.80,0.44,0.44,1.00,Run
0.218,0.021,0.80,0.43,0.43,1.00,Run
0.242,0.024,0.80,0.44,0.44,1.00,Run
0.266,0.024,0.80,0.44,0.44,1.00,Run
0.287,0.021,0.80,0.44,0.44,1.00,Run
0.310,0.024,0.80,0.44,0.44,1.00,Run
0.335,0.025,0.80,0.44,0.44,1.00,Run
0.360,0.025,0.80,0.44,0.44,1.00,Run
0.384,0.023,0.80,0.45,0.45,1.00,Run
0.409,0.025,0.80,0.45,0.45,1.00,Run
0.432,0.023,0.80,0.45,0.45,1.00,Run
0.456,0.024,0.80,0.45,0.45,1.00,Run
0.481,0.024,0.80,0.45,0.45,1.00,Run
0.506,0.025,0.80,0.46,0.46,1.00,Run
0.531,0.025,0.80,0.46,0.46,1.00,Run
0.556,0.025,0.80,0.46,0.46,1.00,Run
0.581,0.025,0.80,0.46,0.46,1.00,Run
0.606,0.025,0.80,0.47,0.47,1.00,Run
0.628,0.022,0.80,0.47,0.47,1.00,Run
0.652,0.024,0.80,0.47,0.47,1.00,Run
0.677,0.025,0.80,0.47,0.47,1.00,Run
0.702,0.025,0.80,0.47,0.47,1.00,Run
0.727,0.025,0.80,0.48,0.48,1.00,Run
0.752,0.025,0.80,0.48,0.48,1.00,Run
0.776,0.024,0.80,0.48,0.48,1.00,Run
0.800,0.024,0.80,0.48,0.48,1.00,Run
0.825,0.025,0.80,0.48,0.48,1.00,Run
0.850,0.025,0.80,0.49,0.49,1.00,Run
0.875,0.025,0.80,0.49,0.49,1.00,Run
0.900,0.025,0.80,0.49,0.49,1.00,Run
0.925,0.025,0.80,0.49,0.49,1.00,Run
0.951,0.025,0.80,0.49,0.49,1.00,Run
0.975,0.024,0.80,0.50,0.50,1.00,Run
1.000,0.025,0.80,0.50,0.50,1.00,Run
1.021,0.021,0.80,0.50,0.50,1.00,Run
1.043,0.022,0.80,0.50,0.50,1.00,Run
1.067,0.024,0.80,0.50,0.50,1.00,Run
1.092,0.024,0.80,0.50,0.50,1.00,Run
1.113,0.021,0.80,0.50,0.50,1.00,Run
1.134,0.021,0.80,0.51,0.51,1.00,Run
1.159,0.025,0.80,0.51,0.51,1.00,Run
1.182,0.024,0.80,0.51,0.51,1.00,Run
1.207,0.025,0.80,0.51,0.51,1.00,Run
1.232,0.025,0.80,0.51,0.51,1.00,Run
1.253,0.021,0.80,0.52,0.52,1.00,Run
1.278,0.025,0.80,0.52,0.52,1.00,Run
1.302,0.024,0.80,0.52,0.52,1.00,Run
1.322,0.021,0.80,0.52,0.52,1.00,Run
1.347,0.025,0.80,0.52,0.52,1.00,Run
1.372,0.025,0.80,0.52,0.52,1.00,Run
1.397,0.025,0.80,0.53,0.53,1.00,Run
1.422,0.025,0.80,0.53,0.53,1.00,Run
1.445,0.023,0.80,0.53,0.53,1.00,Run
1.465,0.021,0.80,0.53,0.53,1.00,Run
1.490,0.025,0.80,0.53,0.53,1.00,Run
1.513,0.023,0.80,0.53,0.53,1.00,Run
1.536,0.023,0.80,0.54,0.54,1.00,Run
1.556,0.020,0.80,0.54,0.54,1.00,Run
1.581,0.025,0.80,0.54,0.54,1.00,Run
1.602,0.021,0.80,0.54,0.54,1.00,Run
1.626,0.024,0.80,0.54,0.54,1.00,Run
1.651,0.025,0.80,0.54,0.54,1.00,Run
1.676,0.025,0.80,0.55,0.55,1.00,Run
1.697,0.021,0.80,0.55,0.55,1.00,Run
1.722,0.025,0.80,0.55,0.55,1.00,Run
1.747,0.025,0.80,0.55,0.55,1.00,Run
1.772,0.024,0.80,0.55,0.55,1.00,Run
1.793,0.021,0.80,0.55,0.55,1.00,Run
1.817,0.024,0.80,0.55,0.55,1.00,Run
1.842,0.024,0.80,0.56,0.56,1.00,Run
1.865,0.024,0.80,0.56,0.56,1.00,Run
1.887,0.022,0.80,0.56,0.56,1.00,Run
1.912,0.025,0.80,0.56,0.56,1.00,Run
1.937,0.025,0.80,0.56,0.56,1.00,Run
1.961,0.024,0.80,0.56,0.56,1.00,Run
1.984,0.023,0.80,0.56,0.56,1.00,Run
2.008,0.024,0.80,0.57,0.57,1.00,Run
2.033,0.025,0.80,0.57,0.57,0.99,Run
2.058,0.025,0.80,0.57,0.57,0.99,Run
2.079,0.021,0.80,0.57,0.57,0.98,Run
2.102,0.023,0.80,0.57,0.57,0.98,Run
2.122,0.020,0.80,0.57,0.57,0.97,Run
2.142,0.021,0.80,0.57,0.57,0.97,Run
2.164,0.021,0.80,0.57,0.57,0.96,Run
2.189,0.025,0.80,0.58,0.58,0.96,Run
2.214,0.025,0.80,0.58,0.58,0.95,Run
2.238,0.024,0.80,0.58,0.58,0.95,Run
2.262,0.024,0.80,0.58,0.58,0.94,Run
2.285,0.023,0.80,0.58,0.58,0.94,Run
2.310,0.025,0.80,0.58,0.58,0.93,Run
2.334,0.025,0.80,0.58,0.58,0.92,Run
2.356,0.021,0.80,0.59,0.59,0.92,Run
2.381,0.025,0.80,0.59,0.59,0.91,Run
2.406,0.025,0.80,0.59,0.59,0.91,Run
2.429,0.023,0.80,0.59,0.59,0.90,Run
2.454,0.025,0.80,0.59,0.59,0.90,Run
2.477,0.023,0.80,0.59,0.59,0.89,Run
2.501,0.024,0.80,0.59,0.59,0.89,Run
2.523,0.022,0.80,0.59,0.59,0.88,Run
2.548,0.025,0.80,0.60,0.60,0.88,Run
2.572,0.024,0.80,0.60,0.60,0.87,Run
2.597,0.025,0.80,0.60,0.60,0.87,Run
2.618,0.022,0.80,0.60,0.60,0.86,Run
2.644,0.025,0.80,0.60,0.60,0.86,Run
2.668,0.025,0.80,0.60,0.60,0.85,Run
2.693,0.024,0.80,0.60,0.60,0.84,Run
2.718,0.025,0.80,0.60,0.60,0.84,Run
2.741,0.023,0.80,0.61,0.61,0.83,Run
2.766,0.025,0.80,0.61,0.61,0.83,Run
2.791,0.025,0.80,0.61,0.61,0.82,Run
2.816,0.025,0.80,0.61,0.61,0.82,Run
2.841,0.025,0.80,0.61,0.61,0.81,Run
