t,dt,desired_v,left,right,distance,state
0.000,0.000,0.40,1.00,1.00,1.00,Run
0.025,0.025,0.41,-0.17,-0.17,1.00,Run
0.050,0.025,0.42,0.46,0.46,1.00,Run
0.075,0.025,0.43,0.13,0.13,1.00,Run
0.100,0.025,0.44,0.31,0.31,1.00,Run
0.125,0.025,0.45,0.22,0.22,1.00,Run
0.150,0.025,0.46,0.28,0.28,1.00,Run
0.175,0.025,0.47,0.25,0.25,1.00,Run
0.196,0.020,0.47,0.27,0.27,1.00,Run
0.221,0.025,0.48,0.27,0.27,1.00,Run
0.245,0.025,0.49,0.28,0.28,1.00,Run
0.268,0.022,0.50,0.28,0.28,1.00,Run
0.293,0.025,0.51,0.29,0.29,1.00,Run
0.316,0.023,0.52,0.29,0.29,1.00,Run
0.337,0.021,0.52,0.30,0.30,1.00,Run
0.362,0.025,0.53,0.31,0.31,1.00,Run
0.386,0.024,0.54,0.31,0.31,1.00,Run
0.406,0.020,0.55,0.31,0.31,1.00,Run
0.428,0.022,0.55,0.32,0.32,1.00,Run
0.453,0.025,0.56,0.33,0.33,1.00,Run
0.475,0.023,0.57,0.33,0.33,1.00,Run
0.501,0.025,0.58,0.34,0.34,1.00,Run
0.526,0.025,0.58,0.34,0.34,1.00,Run
0.551,0.025,0.59,0.35,0.35,1.00,Run
0.575,0.024,0.60,0.35,0.35,1.00,Run
0.595,0.021,0.60,0.35,0.35,1.00,Run
0.621,0.025,0.61,0.36,0.36,1.00,Run
0.646,0.025,0.62,0.36,0.36,1.00,Run
0.671,0.025,0.62,0.37,0.37,1.00,Run
0.695,0.025,0.63,0.37,0.37,1.00,Run
0.721,0.025,0.64,0.38,0.38,1.00,Run
0.742,0.022,0.64,0.38,0.38,1.00,Run
0.765,0.023,0.65,0.38,0.38,1.00,Run
0.789,0.025,0.65,0.39,0.39,1.00,Run
0.811,0.022,0.66,0.39,0.39,1.00,Run
0.836,0.025,0.66,0.40,0.40,1.00,Run
0.861,0.025,0.66,0.40,0.40,1.00,Run
0.886,0.025,0.67,0.40,0.40,1.00,Run
0.912,0.025,0.67,0.41,0.41,1.00,Run
0.935,0.024,0.68,0.41,0.41,1.00,Run
0.961,0.025,0.68,0.41,0.41,1.00,Run
0.986,0.025,0.68,0.42,0.42,1.00,Run
1.007,0.021,0.69,0.42,0.42,1.00,Run
1.032,0.025,0.69,0.42,0.42,1.00,Run
1.056,0.024,0.69,0.42,0.42,1.00,Run
1.080,0.024,0.69,0.43,0.43,1.00,Run
1.105,0.025,0.70,0.43,0.43,1.00,Run
1.130,0.025,0.70,0.43,0.43,1.00,Run
1.155,0.025,0.70,0.43,0.43,1.00,Run
1.176,0.020,0.70,0.43,0.43,1.00,Run
1.201,0.025,0.70,0.43,0.43,1.00,Run
1.225,0.025,0.70,0.44,0.44,1.00,Run
1.249,0.024,0.70,0.44,0.44,1.00,Run
1.270,0.021,0.70,0.44,0.44,1.00,Run
1.296,0.025,0.70,0.44,0.44,1.00,Run
1.321,0.025,0.70,0.44,0.44,1.00,Run
1.343,0.023,0.70,0.44,0.44,1.00,Run
1.366,0.023,0.70,0.44,0.44,1.00,Run
1.388,0.021,0.70,0.44,0.44,1.00,Run
1.413,0.025,0.69,0.44,0.44,1.00,Run
1.434,0.021,0.69,0.44,0.44,1.00,Run
1.459,0.025,0.69,0.44,0.44,1.00,Run
1.481,0.022,0.69,0.44,0.44,1.00,Run
1.506,0.025,0.68,0.44,0.44,1.00,Run
1.531,0.025,0.68,0.44,0.44,1.00,Run
1.556,0.024,0.68,0.44,0.44,1.00,Run
1.580,0.024,0.67,0.44,0.44,1.00,Run
1.602,0.022,0.67,0.44,0.44,1.00,Run
1.627,0.025,0.67,0.44,0.44,1.00,Run
1.652,0.025,0.66,0.43,0.43,1.00,Run
1.676,0.024,0.66,0.43,0.43,1.00,Run
1.700,0.024,0.65,0.43,0.43,1.00,Run
1.725,0.025,0.65,0.43,0.43,1.00,Run
1.750,0.025,0.64,0.43,0.43,1.00,Run
1.772,0.022,0.64,0.43,0.43,1.00,Run
1.795,0.024,0.63,0.42,0.42,1.00,Run
1.815,0.020,0.63,0.42,0.42,1.00,Run
1.836,0.021,0.62,0.42,0.42,1.00,Run
1.857,0.021,0.62,0.42,0.42,1.00,Run
1.879,0.022,0.61,0.42,0.42,1.00,Run
1.900,0.021,0.61,0.42,0.42,1.00,Run
1.924,0.025,0.60,0.41,0.41,1.00,Run
1.945,0.021,0.59,0.41,0.41,1.00,Run
1.967,0.021,0.59,0.41,0.41,1.00,Run
1.989,0.022,0.58,0.40,0.40,1.00,Run
2.014,0.025,0.57,0.40,0.40,1.00,Run
2.037,0.022,0.56,0.40,0.40,0.99,Run
2.062,0.025,0.56,0.39,0.39,0.99,Run
2.084,0.023,0.55,0.39,0.39,0.98,Run
2.106,0.021,0.54,0.39,0.39,0.98,Run
2.128,0.022,0.54,0.39,0.39,0.97,Run
2.152,0.024,0.53,0.38,0.38,0.97,Run
2.176,0.024,0.52,0.38,0.38,0.96,Run
2.202,0.025,0.51,0.37,0.37,0.95,Run
2.225,0.023,0.50,0.37,0.37,0.95,Run
2.250,0.025,0.49,0.37,0.37,0.94,Run
2.275,0.025,0.48,0.36,0.36,0.94,Run
2.295,0.020,0.48,0.36,0.36,0.93,Run
2.317,0.022,0.47,0.36,0.36,0.93,Run
2.341,0.024,0.46,0.35,0.35,0.92,Run
2.362,0.021,0.45,0.35,0.35,0.92,Run
2.383,0.021,0.44,0.35,0.35,0.91,Run
2.406,0.023,0.44,0.34,0.34,0.91,Run
2.426,0.020,0.43,0.34,0.34,0.90,Run
2.448,0.022,0.42,0.33,0.33,0.90,Run
2.472,0.024,0.41,0.33,0.33,0.89,Run
2.495,0.024,0.40,0.32,0.32,0.89,Run
2.517,0.022,0.39,0.32,0.32,0.88,Run
2.537,0.020,0.39,0.32,0.32,0.88,Run
2.561,0.024,0.38,0.31,0.31,0.87,Run
2.586,0.025,0.37,0.31,0.31,0.87,Run
2.606,0.020,0.36,0.31,0.31,0.86,Run
2.629,0.022,0.35,0.30,0.30,0.86,Run
2.654,0.025,0.34,0.30,0.30,0.85,Run
