t,dt,desired_v,left,right,distance,state
0.000,0.000,0.00,0.00,0.00,1.00,Run
0.024,0.024,0.00,0.00,0.00,1.00,Run
0.050,0.025,0.00,0.00,0.00,1.00,Run
0.070,0.021,0.00,0.00,0.00,1.00,Run
0.096,0.025,0.00,0.00,0.00,1.00,Run
0.121,0.025,0.00,0.00,0.00,1.00,Run
0.146,0.025,0.00,0.00,0.00,1.00,Run
0.171,0.025,0.00,0.00,0.00,1.00,Run
0.196,0.025,0.00,0.00,0.00,1.00,Run
0.220,0.025,0.00,0.00,0.00,1.00,Run
0.245,0.025,0.00,0.00,0.00,1.00,Run
0.271,0.025,0.00,0.00,0.00,1.00,Run
0.296,0.025,0.00,0.00,0.00,1.00,Run
0.317,0.021,0.00,0.00,0.00,1.00,Run
0.340,0.023,0.00,0.00,0.00,1.00,Run
0.364,0.024,0.00,0.00,0.00,1.00,Run
0.385,0.021,0.00,0.00,0.00,1.00,Run
0.410,0.025,0.00,0.00,0.00,1.00,Run
0.435,0.024,0.00,0.00,0.00,1.00,Run
0.457,0.022,0.00,0.00,0.00,1.00,Run
0.480,0.023,0.00,0.00,0.00,1.00,Run
0.502,0.022,0.00,0.00,0.00,1.00,Run
0.526,0.024,0.00,0.00,0.00,1.00,Run
0.551,0.025,0.00,0.00,0.00,1.00,Run
0.576,0.025,0.00,0.00,0.00,1.00,Run
0.599,0.023,0.00,0.00,0.00,1.00,Run
0.623,0.024,0.00,0.00,0.00,1.00,Run
0.645,0.022,0.00,0.00,0.00,1.00,Run
0.670,0.025,0.00,0.00,0.00,1.00,Run
0.695,0.025,0.00,0.00,0.00,1.00,Run
0.718,0.023,0.00,0.00,0.00,1.00,Run
0.740,0.022,0.00,0.00,0.00,1.00,Run
0.766,0.025,0.00,0.00,0.00,1.00,Run
0.788,0.022,0.00,0.00,0.00,1.00,Run
0.809,0.022,0.00,0.00,0.00,1.00,Run
0.833,0.024,0.00,0.00,0.00,1.00,Run
0.857,0.024,0.00,0.00,0.00,1.00,Run
0.879,0.022,0.00,0.00,0.00,1.00,Run
0.900,0.021,0.00,0.00,0.00,1.00,Run
0.922,0.022,0.00,0.00,0.00,1.00,Run
0.947,0.025,0.00,0.00,0.00,1.00,Run
0.970,0.023,0.00,0.00,0.00,1.00,Run
0.995,0.024,0.00,0.00,0.00,1.00,Run
1.020,0.025,0.00,0.00,0.00,1.00,Run
1.043,0.023,0.00,0.00,0.00,1.00,Run
1.063,0.020,0.00,0.00,0.00,1.00,Run
1.083,0.020,0.00,0.00,0.00,1.00,Run
1.108,0.025,0.00,0.00,0.00,1.00,Run
1.130,0.022,0.00,0.00,0.00,1.00,Run
1.156,0.025,0.00,0.00,0.00,1.00,Run
1.180,0.025,0.00,0.00,0.00,1.00,Run
1.201,0.020,0.00,0.00,0.00,1.00,Run
1.226,0.025,0.00,0.00,0.00,1.00,Run
1.249,0.024,0.00,0.00,0.00,1.00,Run
1.270,0.021,0.00,0.00,0.00,1.00,Run
1.295,0.025,0.00,0.00,0.00,1.00,Run
1.320,0.026,0.00,0.00,0.00,1.00,Run
1.349,0.028,0.00,0.00,0.00,1.00,Run
1.374,0.025,0.00,0.00,0.00,1.00,Run
1.399,0.025,0.00,0.00,0.00,1.00,Run
1.420,0.021,0.00,0.00,0.00,1.00,Run
1.446,0.025,0.00,0.00,0.00,1.00,Run
1.470,0.025,0.00,0.00,0.00,1.00,Run
1.495,0.025,0.00,0.00,0.00,1.00,Run
1.520,0.025,0.80,1.00,1.00,1.00,Run
1.543,0.022,0.80,0.17,0.17,1.00,Run
1.568,0.025,0.80,0.64,0.64,1.00,Run
1.593,0.025,0.80,0.37,0.37,1.00,Run
1.618,0.025,0.80,0.50,0.50,1.00,Run
1.642,0.024,0.80,0.42,0.42,1.00,Run
1.663,0.021,0.80,0.46,0.46,1.00,Run
1.688,0.025,0.80,0.44,0.44,1.00,Run
1.713,0.025,0.80,0.45,0.45,1.00,Run
1.738,0.025,0.80,0.44,0.44,1.00,Run
1.761,0.024,0.80,0.44,0.44,1.00,Run
