Kp,Ki,Kd,RMS(m/s)_base,CSV_abs_base,RMS(m/s)_adapt,CSV_abs_adapt,improve
0.2,0.05,0.04,0.3676,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.05_kd0.04_hz100_sec8.csv,0.3663,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.05_kd0.04_hz100_sec8.csv,0.0012999999999999678
0.1,0.05,0.0,0.4235,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.05_kd0.00_hz100_sec8.csv,0.4229,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.05_kd0.00_hz100_sec8.csv,0.0005999999999999894
0.2,0.025,0.02,0.2419,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.03_kd0.02_hz100_sec8.csv,0.2418,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.03_kd0.02_hz100_sec8.csv,0.00010000000000001674
0.25,0.0,0.04,0.2444,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.25_ki0.00_kd0.04_hz100_sec8.csv,0.2443,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.25_ki0.00_kd0.04_hz100_sec8.csv,0.00010000000000001674
0.15,0.05,0.04,0.24,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.05_kd0.04_hz100_sec8.csv,0.2399,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.05_kd0.04_hz100_sec8.csv,9.999999999998899e-05
0.25,0.0,0.02,0.2442,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.25_ki0.00_kd0.02_hz100_sec8.csv,0.2441,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.25_ki0.00_kd0.02_hz100_sec8.csv,9.999999999998899e-05
0.15,0.025,0.02,0.2511,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.03_kd0.02_hz100_sec8.csv,0.251,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.03_kd0.02_hz100_sec8.csv,9.999999999998899e-05
0.2,0.05,0.02,0.2313,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.05_kd0.02_hz100_sec8.csv,0.2313,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.05_kd0.02_hz100_sec8.csv,0.0
0.2,0.0,0.02,0.2535,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.00_kd0.02_hz100_sec8.csv,0.2535,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.00_kd0.02_hz100_sec8.csv,0.0
0.1,0.0,0.0,0.5077,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.00_kd0.00_hz100_sec8.csv,0.5077,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.00_kd0.00_hz100_sec8.csv,0.0
0.1,0.0,0.02,0.2748,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.00_kd0.02_hz100_sec8.csv,0.2748,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.00_kd0.02_hz100_sec8.csv,0.0
0.15,0.0,0.02,0.2637,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.00_kd0.02_hz100_sec8.csv,0.2637,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.00_kd0.02_hz100_sec8.csv,0.0
0.15,0.05,0.0,0.2385,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.05_kd0.00_hz100_sec8.csv,0.2385,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.05_kd0.00_hz100_sec8.csv,0.0
0.1,0.025,0.0,0.2602,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.03_kd0.00_hz100_sec8.csv,0.2602,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.03_kd0.00_hz100_sec8.csv,0.0
0.15,0.025,0.04,0.2512,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.03_kd0.04_hz100_sec8.csv,0.2512,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.03_kd0.04_hz100_sec8.csv,0.0
0.1,0.05,0.02,0.2484,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.05_kd0.02_hz100_sec8.csv,0.2484,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.05_kd0.02_hz100_sec8.csv,0.0
0.25,0.0,0.0,0.2435,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.25_ki0.00_kd0.00_hz100_sec8.csv,0.2435,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.25_ki0.00_kd0.00_hz100_sec8.csv,0.0
0.2,0.025,0.0,0.2411,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.03_kd0.00_hz100_sec8.csv,0.2411,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.03_kd0.00_hz100_sec8.csv,0.0
0.1,0.0,0.04,0.5091,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.00_kd0.04_hz100_sec8.csv,0.5091,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.00_kd0.04_hz100_sec8.csv,0.0
0.15,0.0,0.0,0.2632,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.00_kd0.00_hz100_sec8.csv,0.2633,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.00_kd0.00_hz100_sec8.csv,-9.999999999998899e-05
0.15,0.025,0.0,0.2502,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.03_kd0.00_hz100_sec8.csv,0.2503,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.03_kd0.00_hz100_sec8.csv,-0.0001000000000000445
0.2,0.05,0.0,0.3634,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.05_kd0.00_hz100_sec8.csv,0.3636,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.05_kd0.00_hz100_sec8.csv,-0.00019999999999997797
0.2,0.025,0.04,0.242,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.03_kd0.04_hz100_sec8.csv,0.2422,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.03_kd0.04_hz100_sec8.csv,-0.00020000000000000573
0.15,0.05,0.02,0.2394,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.05_kd0.02_hz100_sec8.csv,0.2396,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.05_kd0.02_hz100_sec8.csv,-0.00020000000000000573
0.2,0.0,0.04,0.4346,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.00_kd0.04_hz100_sec8.csv,0.4348,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.00_kd0.04_hz100_sec8.csv,-0.00020000000000003348
0.1,0.025,0.04,0.2608,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.03_kd0.04_hz100_sec8.csv,0.2611,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.03_kd0.04_hz100_sec8.csv,-0.00030000000000002247
0.1,0.025,0.02,0.2605,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.03_kd0.02_hz100_sec8.csv,0.2609,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.03_kd0.02_hz100_sec8.csv,-0.00040000000000001146
0.15,0.0,0.04,0.2636,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.15_ki0.00_kd0.04_hz100_sec8.csv,0.264,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.15_ki0.00_kd0.04_hz100_sec8.csv,-0.00040000000000001146
0.1,0.05,0.04,0.4259,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.10_ki0.05_kd0.04_hz100_sec8.csv,0.4266,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.10_ki0.05_kd0.04_hz100_sec8.csv,-0.0006999999999999784
0.2,0.0,0.0,0.4324,/Users/heyizhong/Desktop/robo-sim2real/run/base/pid_kp0.20_ki0.00_kd0.00_hz100_sec8.csv,0.4336,/Users/heyizhong/Desktop/robo-sim2real/run/adapt/pid_kp0.20_ki0.00_kd0.00_hz100_sec8.csv,-0.0011999999999999789
