Kp,Ki,Kd,RMS(m/s),Mean|Err|(m/s),MeanAdaptGain,FailSafe(s),CSV
0.2,0.05,0.02,0.2313,0.259,3.0,5.337,run/adapt/pid_kp0.20_ki0.05_kd0.02_hz100_sec8.csv
0.15,0.05,0.0,0.2385,0.2632,3.0,5.338,run/adapt/pid_kp0.15_ki0.05_kd0.00_hz100_sec8.csv
0.15,0.05,0.02,0.2396,0.2642,3.0,5.339,run/adapt/pid_kp0.15_ki0.05_kd0.02_hz100_sec8.csv
0.15,0.05,0.04,0.2399,0.264,3.0,5.338,run/adapt/pid_kp0.15_ki0.05_kd0.04_hz100_sec8.csv
0.2,0.025,0.0,0.2411,0.2652,3.0,5.339,run/adapt/pid_kp0.20_ki0.03_kd0.00_hz100_sec8.csv
0.2,0.025,0.02,0.2418,0.2668,3.0,5.342,run/adapt/pid_kp0.20_ki0.03_kd0.02_hz100_sec8.csv
0.2,0.025,0.04,0.2422,0.2659,3.0,5.337,run/adapt/pid_kp0.20_ki0.03_kd0.04_hz100_sec8.csv
0.25,0.0,0.0,0.2435,0.267,3.0,5.342,run/adapt/pid_kp0.25_ki0.00_kd0.00_hz100_sec8.csv
0.25,0.0,0.02,0.2441,0.2678,3.0,5.342,run/adapt/pid_kp0.25_ki0.00_kd0.02_hz100_sec8.csv
0.25,0.0,0.04,0.2443,0.2676,3.0,5.335,run/adapt/pid_kp0.25_ki0.00_kd0.04_hz100_sec8.csv
0.1,0.05,0.02,0.2484,0.269,3.0,5.337,run/adapt/pid_kp0.10_ki0.05_kd0.02_hz100_sec8.csv
0.15,0.025,0.0,0.2503,0.2709,3.0,5.343,run/adapt/pid_kp0.15_ki0.03_kd0.00_hz100_sec8.csv
0.15,0.025,0.02,0.251,0.2709,3.0,5.336,run/adapt/pid_kp0.15_ki0.03_kd0.02_hz100_sec8.csv
0.15,0.025,0.04,0.2512,0.271,3.0,5.342,run/adapt/pid_kp0.15_ki0.03_kd0.04_hz100_sec8.csv
0.2,0.0,0.02,0.2535,0.2735,3.0,5.339,run/adapt/pid_kp0.20_ki0.00_kd0.02_hz100_sec8.csv
0.1,0.025,0.0,0.2602,0.2764,3.0,5.336,run/adapt/pid_kp0.10_ki0.03_kd0.00_hz100_sec8.csv
0.1,0.025,0.02,0.2609,0.277,3.0,5.344,run/adapt/pid_kp0.10_ki0.03_kd0.02_hz100_sec8.csv
0.1,0.025,0.04,0.2611,0.2767,3.0,5.34,run/adapt/pid_kp0.10_ki0.03_kd0.04_hz100_sec8.csv
0.15,0.0,0.0,0.2633,0.2793,3.0,5.335,run/adapt/pid_kp0.15_ki0.00_kd0.00_hz100_sec8.csv
0.15,0.0,0.02,0.2637,0.2789,3.0,5.335,run/adapt/pid_kp0.15_ki0.00_kd0.02_hz100_sec8.csv
0.15,0.0,0.04,0.264,0.2802,3.0,5.345,run/adapt/pid_kp0.15_ki0.00_kd0.04_hz100_sec8.csv
0.1,0.0,0.02,0.2748,0.2852,3.0,5.345,run/adapt/pid_kp0.10_ki0.00_kd0.02_hz100_sec8.csv
0.2,0.05,0.0,0.3636,0.4327,3.0,5.344,run/adapt/pid_kp0.20_ki0.05_kd0.00_hz100_sec8.csv
0.2,0.05,0.04,0.3663,0.437,3.0,5.338,run/adapt/pid_kp0.20_ki0.05_kd0.04_hz100_sec8.csv
0.1,0.05,0.0,0.4229,0.473,3.0,5.339,run/adapt/pid_kp0.10_ki0.05_kd0.00_hz100_sec8.csv
0.1,0.05,0.04,0.4266,0.4751,3.0,5.335,run/adapt/pid_kp0.10_ki0.05_kd0.04_hz100_sec8.csv
0.2,0.0,0.0,0.4336,0.497,3.0,5.334,run/adapt/pid_kp0.20_ki0.00_kd0.00_hz100_sec8.csv
0.2,0.0,0.04,0.4348,0.4934,3.0,5.345,run/adapt/pid_kp0.20_ki0.00_kd0.04_hz100_sec8.csv
0.1,0.0,0.0,0.5077,0.5409,3.0,5.34,run/adapt/pid_kp0.10_ki0.00_kd0.00_hz100_sec8.csv
0.1,0.0,0.04,0.5091,0.5425,3.0,5.335,run/adapt/pid_kp0.10_ki0.00_kd0.04_hz100_sec8.csv
