t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,3.000
0.013,0.013,0.60,-1.00,-1.00,1.00,Run,-0.019,-0.019,0.6186,3.000
0.025,0.013,0.60,1.00,1.00,1.00,Run,-0.001,-0.001,0.6007,3.000
0.036,0.010,0.60,-1.00,-1.00,1.00,Run,-0.010,-0.010,0.6098,3.000
0.046,0.011,0.60,1.00,1.00,1.00,Run,0.002,0.002,0.5984,3.000
0.057,0.010,0.60,-0.75,-0.75,1.00,Run,-0.005,-0.005,0.6049,3.000
0.067,0.010,0.60,1.00,1.00,1.00,Run,0.004,0.004,0.5960,3.000
0.077,0.010,0.60,-0.55,-0.55,1.00,Run,-0.001,-0.001,0.6007,3.000
0.090,0.013,0.60,0.73,0.73,1.00,Run,0.007,0.007,0.5931,3.000
0.102,0.013,0.60,-0.21,-0.21,1.00,Run,0.005,0.005,0.5954,3.000
0.113,0.010,0.60,0.54,0.54,1.00,Run,0.009,0.009,0.5908,3.000
0.125,0.013,0.60,-0.07,-0.07,1.00,Run,0.008,0.008,0.5916,3.000
0.138,0.013,0.60,0.37,0.37,1.00,Run,0.012,0.012,0.5879,3.000
0.150,0.013,0.60,0.05,0.05,1.00,Run,0.012,0.012,0.5876,3.000
0.163,0.012,0.60,0.29,0.29,1.00,Run,0.015,0.015,0.5849,3.000
0.175,0.012,0.60,0.11,0.11,1.00,Run,0.016,0.016,0.5840,3.000
0.185,0.011,0.60,0.25,0.25,1.00,Run,0.018,0.018,0.5821,3.000
0.197,0.012,0.60,0.13,0.13,1.00,Run,0.019,0.019,0.5810,3.000
0.210,0.013,0.60,0.22,0.22,1.00,Run,0.021,0.021,0.5790,3.000
0.222,0.013,0.60,0.16,0.16,1.00,Run,0.022,0.022,0.5777,3.000
0.233,0.010,0.60,0.21,0.21,1.00,Run,0.024,0.024,0.5762,3.000
0.245,0.013,0.60,0.17,0.17,1.00,Run,0.025,0.025,0.5749,3.000
0.258,0.013,0.60,0.20,0.20,1.00,Run,0.027,0.027,0.5732,3.000
0.270,0.012,0.60,0.17,0.17,1.00,Run,0.028,0.028,0.5719,3.000
0.283,0.013,0.60,0.19,0.19,1.00,Run,0.030,0.030,0.5703,3.000
0.295,0.013,0.60,0.18,0.18,1.00,Run,0.031,0.031,0.5689,3.000
0.306,0.011,0.60,0.19,0.19,1.00,Run,0.032,0.032,0.5676,3.000
0.318,0.013,0.60,0.18,0.18,1.00,Run,0.034,0.034,0.5662,3.000
0.331,0.013,0.60,0.19,0.19,1.00,Run,0.035,0.035,0.5648,3.000
0.342,0.011,0.60,0.19,0.19,1.00,Run,0.036,0.036,0.5635,3.000
0.352,0.010,0.60,0.19,0.19,1.00,Run,0.038,0.038,0.5624,3.000
