Kp,Ki,Kd,RMS(m/s),Mean|Err|(m/s),MeanAdaptGain,FailSafe(s),CSV
0.2,0.05,0.02,0.2313,0.2592,1.0,5.337,run/base/pid_kp0.20_ki0.05_kd0.02_hz100_sec8.csv
0.15,0.05,0.0,0.2385,0.2633,1.0,5.339,run/base/pid_kp0.15_ki0.05_kd0.00_hz100_sec8.csv
0.15,0.05,0.02,0.2394,0.2638,1.0,5.339,run/base/pid_kp0.15_ki0.05_kd0.02_hz100_sec8.csv
0.15,0.05,0.04,0.24,0.2642,1.0,5.334,run/base/pid_kp0.15_ki0.05_kd0.04_hz100_sec8.csv
0.2,0.025,0.0,0.2411,0.2654,1.0,5.346,run/base/pid_kp0.20_ki0.03_kd0.00_hz100_sec8.csv
0.2,0.025,0.02,0.2419,0.266,1.0,5.341,run/base/pid_kp0.20_ki0.03_kd0.02_hz100_sec8.csv
0.2,0.025,0.04,0.242,0.2657,1.0,5.342,run/base/pid_kp0.20_ki0.03_kd0.04_hz100_sec8.csv
0.25,0.0,0.0,0.2435,0.2672,1.0,5.336,run/base/pid_kp0.25_ki0.00_kd0.00_hz100_sec8.csv
0.25,0.0,0.02,0.2442,0.2676,1.0,5.338,run/base/pid_kp0.25_ki0.00_kd0.02_hz100_sec8.csv
0.25,0.0,0.04,0.2444,0.2679,1.0,5.333,run/base/pid_kp0.25_ki0.00_kd0.04_hz100_sec8.csv
0.1,0.05,0.02,0.2484,0.2689,1.0,5.343,run/base/pid_kp0.10_ki0.05_kd0.02_hz100_sec8.csv
0.15,0.025,0.0,0.2502,0.2708,1.0,5.344,run/base/pid_kp0.15_ki0.03_kd0.00_hz100_sec8.csv
0.15,0.025,0.02,0.2511,0.2715,1.0,5.34,run/base/pid_kp0.15_ki0.03_kd0.02_hz100_sec8.csv
0.15,0.025,0.04,0.2512,0.2713,1.0,5.341,run/base/pid_kp0.15_ki0.03_kd0.04_hz100_sec8.csv
0.2,0.0,0.02,0.2535,0.2732,1.0,5.338,run/base/pid_kp0.20_ki0.00_kd0.02_hz100_sec8.csv
0.1,0.025,0.0,0.2602,0.2766,1.0,5.337,run/base/pid_kp0.10_ki0.03_kd0.00_hz100_sec8.csv
0.1,0.025,0.02,0.2605,0.2768,1.0,5.344,run/base/pid_kp0.10_ki0.03_kd0.02_hz100_sec8.csv
0.1,0.025,0.04,0.2608,0.2776,1.0,5.335,run/base/pid_kp0.10_ki0.03_kd0.04_hz100_sec8.csv
0.15,0.0,0.0,0.2632,0.2788,1.0,5.334,run/base/pid_kp0.15_ki0.00_kd0.00_hz100_sec8.csv
0.15,0.0,0.04,0.2636,0.279,1.0,5.34,run/base/pid_kp0.15_ki0.00_kd0.04_hz100_sec8.csv
0.15,0.0,0.02,0.2637,0.2789,1.0,5.345,run/base/pid_kp0.15_ki0.00_kd0.02_hz100_sec8.csv
0.1,0.0,0.02,0.2748,0.2853,1.0,5.334,run/base/pid_kp0.10_ki0.00_kd0.02_hz100_sec8.csv
0.2,0.05,0.0,0.3634,0.4344,1.0,5.341,run/base/pid_kp0.20_ki0.05_kd0.00_hz100_sec8.csv
0.2,0.05,0.04,0.3676,0.4362,1.0,5.346,run/base/pid_kp0.20_ki0.05_kd0.04_hz100_sec8.csv
0.1,0.05,0.0,0.4235,0.4742,1.0,5.336,run/base/pid_kp0.10_ki0.05_kd0.00_hz100_sec8.csv
0.1,0.05,0.04,0.4259,0.4746,1.0,5.337,run/base/pid_kp0.10_ki0.05_kd0.04_hz100_sec8.csv
0.2,0.0,0.0,0.4324,0.4905,1.0,5.334,run/base/pid_kp0.20_ki0.00_kd0.00_hz100_sec8.csv
0.2,0.0,0.04,0.4346,0.4919,1.0,5.342,run/base/pid_kp0.20_ki0.00_kd0.04_hz100_sec8.csv
0.1,0.0,0.0,0.5077,0.5404,1.0,5.335,run/base/pid_kp0.10_ki0.00_kd0.00_hz100_sec8.csv
0.1,0.0,0.04,0.5091,0.541,1.0,5.334,run/base/pid_kp0.10_ki0.00_kd0.04_hz100_sec8.csv
