t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.30,1.00,1.00,1.00,Run,0.000,0.000,0.3000,1.000
0.013,0.013,0.30,-0.62,-0.62,1.00,Run,-0.026,-0.026,0.3255,1.000
0.025,0.012,0.30,0.58,0.58,1.00,Run,-0.001,-0.001,0.3014,1.000
0.037,0.013,0.30,-0.32,-0.32,1.00,Run,-0.015,-0.015,0.3146,1.000
0.050,0.013,0.30,0.34,0.34,1.00,Run,-0.000,-0.000,0.3002,1.000
0.062,0.013,0.30,-0.15,-0.15,1.00,Run,-0.007,-0.007,0.3065,1.000
0.074,0.011,0.30,0.22,0.22,1.00,Run,0.002,0.002,0.2981,1.000
0.085,0.012,0.30,-0.08,-0.08,1.00,Run,-0.001,-0.001,0.3012,1.000
0.098,0.013,0.30,0.15,0.15,1.00,Run,0.005,0.005,0.2952,1.000
0.110,0.012,0.30,-0.03,-0.03,1.00,Run,0.004,0.004,0.2964,1.000
0.122,0.013,0.30,0.10,0.10,1.00,Run,0.008,0.008,0.2924,1.000
0.135,0.013,0.30,0.00,0.00,1.00,Run,0.007,0.007,0.2925,1.000
0.147,0.013,0.30,0.07,0.07,1.00,Run,0.010,0.010,0.2898,1.000
0.160,0.013,0.30,0.02,0.02,1.00,Run,0.011,0.011,0.2893,1.000
0.172,0.013,0.30,0.06,0.06,1.00,Run,0.013,0.013,0.2872,1.000
0.185,0.013,0.30,0.03,0.03,1.00,Run,0.014,0.014,0.2865,1.000
0.197,0.012,0.30,0.05,0.05,1.00,Run,0.015,0.015,0.2849,1.000
0.210,0.013,0.30,0.04,0.04,1.00,Run,0.016,0.016,0.2841,1.000
0.222,0.013,0.30,0.05,0.05,1.00,Run,0.017,0.017,0.2828,1.000
0.235,0.013,0.30,0.04,0.04,1.00,Run,0.018,0.018,0.2819,1.000
0.247,0.012,0.30,0.04,0.04,1.00,Run,0.019,0.019,0.2808,1.000
0.260,0.013,0.30,0.04,0.04,1.00,Run,0.020,0.020,0.2800,1.000
0.272,0.012,0.30,0.04,0.04,1.00,Run,0.021,0.021,0.2791,1.000
0.284,0.012,0.30,0.04,0.04,1.00,Run,0.022,0.022,0.2783,1.000
0.296,0.013,0.30,0.04,0.04,1.00,Run,0.023,0.023,0.2775,1.000
0.309,0.013,0.30,0.04,0.04,1.00,Run,0.023,0.023,0.2767,1.000
0.321,0.013,0.30,0.04,0.04,1.00,Run,0.024,0.024,0.2760,1.000
0.334,0.012,0.30,0.04,0.04,1.00,Run,0.025,0.025,0.2753,1.000
0.345,0.011,0.30,0.04,0.04,1.00,Run,0.025,0.025,0.2747,1.000
0.358,0.013,0.30,0.04,0.04,1.00,Run,0.026,0.026,0.2740,1.000
0.370,0.013,0.30,0.04,0.04,1.00,Run,0.027,0.027,0.2734,1.000
