t,dt,desired_v,left,right,distance,state
0.000,0.000,0.60,0.00,0.00,1.00,EmergencyBrake
0.012,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.025,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.037,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.050,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.062,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.074,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.087,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.099,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.112,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.124,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.137,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.148,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.160,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.173,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.185,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.198,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.210,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.223,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.235,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.248,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.261,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.273,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.286,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.298,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.310,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.323,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.335,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.348,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.361,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.372,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.385,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.406,0.022,0.60,0.00,0.00,1.00,EmergencyBrake
0.418,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.430,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.443,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.455,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.468,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.480,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.493,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.504,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.517,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.528,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.539,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.552,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.565,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.576,0.010,0.60,0.00,0.00,1.00,EmergencyBrake
0.590,0.015,0.60,0.00,0.00,1.00,EmergencyBrake
0.603,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.615,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.628,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.638,0.010,0.60,0.00,0.00,1.00,EmergencyBrake
0.651,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.663,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.676,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.688,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.700,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.713,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.724,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.737,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.748,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.760,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.773,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.785,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.798,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.811,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.823,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.836,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.849,0.014,0.60,0.00,0.00,1.00,EmergencyBrake
0.862,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.874,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
0.887,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.898,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
0.910,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.923,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.935,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.948,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.960,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.973,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.986,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
0.998,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.010,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.023,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.035,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.048,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.060,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.073,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.085,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.098,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.110,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.121,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.132,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.145,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.158,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.170,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.183,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.195,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.208,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.220,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.231,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.244,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.257,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.269,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.281,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.293,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.304,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.317,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.329,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.342,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.353,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.366,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.378,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.389,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.402,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.412,0.010,0.60,0.00,0.00,1.00,EmergencyBrake
1.425,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.435,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.448,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.460,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.473,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.485,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.498,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.510,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.523,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.535,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.548,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.560,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.573,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.585,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.598,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.609,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.622,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.634,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.646,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.658,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.669,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.682,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.694,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.707,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.718,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.730,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.742,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.755,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.767,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.778,0.010,0.60,0.00,0.00,1.00,EmergencyBrake
1.789,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.802,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.814,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.826,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.838,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.851,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.863,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.876,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.888,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.900,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.913,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.925,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.938,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.950,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
1.962,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.973,0.011,0.60,0.00,0.00,1.00,EmergencyBrake
1.985,0.012,0.60,0.00,0.00,1.00,EmergencyBrake
1.998,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
2.010,0.013,0.60,0.00,0.00,1.00,EmergencyBrake
2.023,0.013,0.60,0.00,0.00,0.99,EmergencyBrake
2.036,0.013,0.60,0.00,0.00,0.99,EmergencyBrake
2.048,0.013,0.60,0.00,0.00,0.99,EmergencyBrake
2.061,0.013,0.60,0.00,0.00,0.99,EmergencyBrake
2.073,0.013,0.60,0.00,0.00,0.98,EmergencyBrake
2.086,0.012,0.60,0.00,0.00,0.98,EmergencyBrake
2.098,0.012,0.60,0.00,0.00,0.98,EmergencyBrake
2.110,0.013,0.60,0.00,0.00,0.98,EmergencyBrake
2.123,0.013,0.60,0.00,0.00,0.97,EmergencyBrake
2.135,0.012,0.60,0.00,0.00,0.97,EmergencyBrake
2.147,0.012,0.60,0.00,0.00,0.97,EmergencyBrake
2.159,0.013,0.60,0.00,0.00,0.96,EmergencyBrake
2.171,0.011,0.60,0.00,0.00,0.96,EmergencyBrake
2.183,0.013,0.60,0.00,0.00,0.96,EmergencyBrake
2.196,0.013,0.60,0.00,0.00,0.96,EmergencyBrake
2.208,0.012,0.60,0.00,0.00,0.95,EmergencyBrake
2.220,0.012,0.60,0.00,0.00,0.95,EmergencyBrake
2.233,0.013,0.60,0.00,0.00,0.95,EmergencyBrake
2.245,0.012,0.60,0.00,0.00,0.94,EmergencyBrake
2.258,0.013,0.60,0.00,0.00,0.94,EmergencyBrake
2.269,0.012,0.60,0.00,0.00,0.94,EmergencyBrake
2.281,0.011,0.60,0.00,0.00,0.94,EmergencyBrake
2.293,0.013,0.60,0.00,0.00,0.93,EmergencyBrake
2.306,0.013,0.60,0.00,0.00,0.93,EmergencyBrake
2.318,0.013,0.60,0.00,0.00,0.93,EmergencyBrake
2.331,0.012,0.60,0.00,0.00,0.93,EmergencyBrake
2.341,0.010,0.60,0.00,0.00,0.92,EmergencyBrake
2.354,0.013,0.60,0.00,0.00,0.92,EmergencyBrake
2.366,0.013,0.60,0.00,0.00,0.92,EmergencyBrake
2.378,0.012,0.60,0.00,0.00,0.91,EmergencyBrake
2.390,0.012,0.60,0.00,0.00,0.91,EmergencyBrake
2.402,0.012,0.60,0.00,0.00,0.91,EmergencyBrake
2.415,0.013,0.60,0.00,0.00,0.91,EmergencyBrake
2.427,0.013,0.60,0.00,0.00,0.90,EmergencyBrake
2.438,0.010,0.60,0.00,0.00,0.90,EmergencyBrake
2.449,0.012,0.60,0.00,0.00,0.90,EmergencyBrake
2.460,0.010,0.60,0.00,0.00,0.90,EmergencyBrake
2.472,0.013,0.60,0.00,0.00,0.89,EmergencyBrake
2.485,0.013,0.60,0.00,0.00,0.89,EmergencyBrake
2.496,0.012,0.60,0.00,0.00,0.89,EmergencyBrake
2.508,0.011,0.60,0.00,0.00,0.89,EmergencyBrake
2.520,0.012,0.60,0.00,0.00,0.88,EmergencyBrake
