t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,1.200
0.025,0.025,0.60,-0.09,-0.09,1.00,Run,-0.002,-0.002,0.6024,1.200
0.047,0.022,0.60,0.59,0.59,1.00,Run,0.011,0.011,0.5888,1.200
0.072,0.025,0.60,0.21,0.21,1.00,Run,0.016,0.016,0.5838,1.200
0.098,0.025,0.60,0.40,0.40,1.00,Run,0.026,0.026,0.5740,1.200
0.123,0.025,0.60,0.30,0.30,1.00,Run,0.033,0.033,0.5671,1.200
0.148,0.025,0.60,0.35,0.35,1.00,Run,0.041,0.041,0.5592,1.200
0.173,0.025,0.60,0.32,0.32,1.00,Run,0.048,0.048,0.5522,1.200
0.198,0.025,0.60,0.33,0.33,1.00,Run,0.055,0.055,0.5450,1.200
0.223,0.025,0.60,0.33,0.33,1.00,Run,0.062,0.062,0.5383,1.200
0.248,0.025,0.60,0.33,0.33,1.00,Run,0.068,0.068,0.5317,1.200
0.273,0.025,0.60,0.33,0.33,1.00,Run,0.075,0.075,0.5255,1.200
0.298,0.025,0.60,0.33,0.33,1.00,Run,0.081,0.081,0.5193,1.200
0.321,0.023,0.60,0.33,0.33,1.00,Run,0.086,0.086,0.5138,1.200
0.346,0.025,0.60,0.33,0.33,1.00,Run,0.092,0.092,0.5079,1.200
0.367,0.021,0.60,0.33,0.33,1.00,Run,0.097,0.097,0.5031,1.200
0.392,0.025,0.60,0.33,0.33,1.00,Run,0.102,0.102,0.4976,1.200
0.418,0.025,0.60,0.33,0.33,1.00,Run,0.108,0.108,0.4923,1.200
0.443,0.025,0.60,0.33,0.33,1.00,Run,0.113,0.113,0.4871,1.200
0.466,0.023,0.60,0.33,0.33,1.00,Run,0.118,0.118,0.4824,1.200
0.491,0.025,0.60,0.33,0.33,1.00,Run,0.122,0.122,0.4775,1.200
0.516,0.025,0.60,0.33,0.33,1.00,Run,0.127,0.127,0.4727,1.200
0.541,0.025,0.60,0.33,0.33,1.00,Run,0.132,0.132,0.4681,1.200
0.566,0.025,0.60,0.33,0.33,1.00,Run,0.136,0.136,0.4636,1.200
0.591,0.025,0.60,0.33,0.33,1.00,Run,0.141,0.141,0.4592,1.200
0.616,0.025,0.60,0.33,0.33,1.00,Run,0.145,0.145,0.4549,1.200
0.641,0.025,0.60,0.34,0.34,1.00,Run,0.149,0.149,0.4508,1.200
0.666,0.025,0.60,0.34,0.34,1.00,Run,0.153,0.153,0.4467,1.200
0.687,0.021,0.60,0.34,0.34,1.00,Run,0.157,0.157,0.4434,1.200
0.712,0.025,0.60,0.34,0.34,1.00,Run,0.160,0.160,0.4396,1.200
0.738,0.025,0.60,0.34,0.34,1.00,Run,0.164,0.164,0.4359,1.200
0.762,0.024,0.60,0.34,0.34,1.00,Run,0.168,0.168,0.4324,1.200
0.787,0.025,0.60,0.34,0.34,1.00,Run,0.171,0.171,0.4289,1.200
0.812,0.025,0.60,0.34,0.34,1.00,Run,0.175,0.175,0.4254,1.200
0.837,0.025,0.60,0.34,0.34,1.00,Run,0.178,0.178,0.4221,1.200
0.857,0.020,0.60,0.34,0.34,1.00,Run,0.181,0.181,0.4194,1.200
0.882,0.025,0.60,0.34,0.34,1.00,Run,0.184,0.184,0.4162,1.200
0.907,0.025,0.60,0.34,0.34,1.00,Run,0.187,0.187,0.4131,1.200
0.932,0.025,0.60,0.34,0.34,1.00,Run,0.190,0.190,0.4101,1.200
0.957,0.025,0.60,0.34,0.34,1.00,Run,0.193,0.193,0.4072,1.200
0.982,0.025,0.60,0.34,0.34,1.00,Run,0.196,0.196,0.4043,1.200
1.007,0.025,0.60,0.34,0.34,1.00,Run,0.198,0.198,0.4016,1.200
1.032,0.025,0.60,0.34,0.34,1.00,Run,0.201,0.201,0.3989,1.200
1.057,0.025,0.60,0.34,0.34,1.00,Run,0.204,0.204,0.3962,1.200
1.083,0.025,0.60,0.34,0.34,1.00,Run,0.206,0.206,0.3936,1.200
1.108,0.025,0.60,0.35,0.35,1.00,Run,0.209,0.209,0.3911,1.200
1.133,0.025,0.60,0.35,0.35,1.00,Run,0.211,0.211,0.3887,1.200
1.158,0.025,0.60,0.35,0.35,1.00,Run,0.214,0.214,0.3863,1.200
1.182,0.024,0.60,0.35,0.35,1.00,Run,0.216,0.216,0.3841,1.200
1.207,0.025,0.60,0.35,0.35,1.00,Run,0.218,0.218,0.3818,1.200
1.232,0.025,0.60,0.35,0.35,1.00,Run,0.220,0.220,0.3796,1.200
1.256,0.024,0.60,0.35,0.35,1.00,Run,0.223,0.223,0.3775,1.200
1.277,0.021,0.60,0.35,0.35,1.00,Run,0.224,0.224,0.3757,1.200
1.302,0.025,0.60,0.35,0.35,1.00,Run,0.226,0.226,0.3737,1.200
1.327,0.025,0.60,0.35,0.35,1.00,Run,0.228,0.228,0.3717,1.200
1.352,0.025,0.60,0.35,0.35,1.00,Run,0.230,0.230,0.3697,1.200
1.378,0.025,0.60,0.35,0.35,1.00,Run,0.232,0.232,0.3678,1.200
1.403,0.025,0.60,0.35,0.35,1.00,Run,0.234,0.234,0.3659,1.200
1.428,0.025,0.60,0.35,0.35,1.00,Run,0.236,0.236,0.3641,1.200
1.453,0.025,0.60,0.35,0.35,1.00,Run,0.238,0.238,0.3623,1.200
1.477,0.025,0.60,0.35,0.35,1.00,Run,0.239,0.239,0.3606,1.200
1.502,0.025,0.60,0.35,0.35,1.00,Run,0.241,0.241,0.3589,1.200
1.527,0.025,0.60,0.35,0.35,1.00,Run,0.243,0.243,0.3572,1.200
1.552,0.024,0.60,0.35,0.35,1.00,Run,0.244,0.244,0.3557,1.200
1.577,0.025,0.60,0.35,0.35,1.00,Run,0.246,0.246,0.3541,1.200
1.599,0.022,0.60,0.36,0.36,1.00,Run,0.247,0.247,0.3527,1.200
1.624,0.025,0.60,0.36,0.36,1.00,Run,0.249,0.249,0.3512,1.200
1.649,0.025,0.60,0.36,0.36,1.00,Run,0.250,0.250,0.3497,1.200
1.672,0.023,0.60,0.36,0.36,1.00,Run,0.252,0.252,0.3484,1.200
1.697,0.025,0.60,0.36,0.36,1.00,Run,0.253,0.253,0.3469,1.200
1.722,0.025,0.60,0.36,0.36,1.00,Run,0.254,0.254,0.3455,1.200
1.747,0.025,0.60,0.36,0.36,1.00,Run,0.256,0.256,0.3442,1.200
1.772,0.025,0.60,0.36,0.36,1.00,Run,0.257,0.257,0.3428,1.200
1.797,0.025,0.60,0.36,0.36,1.00,Run,0.258,0.258,0.3415,1.200
1.823,0.025,0.60,0.36,0.36,1.00,Run,0.260,0.260,0.3403,1.200
1.847,0.025,0.60,0.36,0.36,1.00,Run,0.261,0.261,0.3390,1.200
1.872,0.025,0.60,0.36,0.36,1.00,Run,0.262,0.262,0.3378,1.200
1.893,0.021,0.60,0.36,0.36,1.00,Run,0.263,0.263,0.3368,1.200
1.918,0.025,0.60,0.36,0.36,1.00,Run,0.264,0.264,0.3356,1.200
1.943,0.025,0.60,0.36,0.36,1.00,Run,0.266,0.266,0.3344,1.200
1.969,0.025,0.60,0.36,0.36,1.00,Run,0.267,0.267,0.3333,1.200
1.994,0.025,0.60,0.36,0.36,1.00,Run,0.268,0.268,0.3322,1.200
2.019,0.025,0.60,0.36,0.36,1.00,Run,0.269,0.269,0.3311,1.200
2.044,0.025,0.60,0.36,0.36,0.99,Run,0.270,0.270,0.3300,1.200
2.069,0.025,0.60,0.36,0.36,0.98,Run,0.271,0.271,0.3290,1.200
2.089,0.020,0.60,0.36,0.36,0.98,Run,0.272,0.272,0.3282,1.200
2.114,0.025,0.60,0.37,0.37,0.97,Run,0.273,0.273,0.3271,1.200
2.137,0.023,0.60,0.37,0.37,0.97,Run,0.274,0.274,0.3262,1.200
2.160,0.023,0.60,0.37,0.37,0.96,Run,0.275,0.275,0.3253,1.200
2.182,0.022,0.60,0.37,0.37,0.96,Run,0.276,0.276,0.3245,1.200
2.204,0.023,0.60,0.37,0.37,0.95,Run,0.276,0.276,0.3236,1.200
2.228,0.024,0.60,0.37,0.37,0.95,Run,0.277,0.277,0.3227,1.200
2.252,0.024,0.60,0.37,0.37,0.94,Run,0.278,0.278,0.3219,1.200
2.274,0.022,0.60,0.37,0.37,0.94,Run,0.279,0.279,0.3211,1.200
2.297,0.024,0.60,0.37,0.37,0.93,Run,0.280,0.280,0.3203,1.200
2.322,0.025,0.60,0.37,0.37,0.93,Run,0.281,0.281,0.3194,1.200
2.348,0.025,0.60,0.37,0.37,0.92,Run,0.281,0.281,0.3185,1.200
2.373,0.025,0.60,0.37,0.37,0.92,Run,0.282,0.282,0.3177,1.200
2.398,0.025,0.60,0.37,0.37,0.91,Run,0.283,0.283,0.3168,1.200
2.420,0.022,0.60,0.37,0.37,0.91,Run,0.284,0.284,0.3161,1.200
2.441,0.021,0.60,0.37,0.37,0.90,Run,0.285,0.285,0.3154,1.200
2.465,0.025,0.60,0.37,0.37,0.90,Run,0.285,0.285,0.3146,1.200
2.491,0.025,0.60,0.37,0.37,0.89,Run,0.286,0.286,0.3138,1.200
2.513,0.023,0.60,0.37,0.37,0.88,Run,0.287,0.287,0.3131,1.200
2.537,0.024,0.60,0.37,0.37,0.88,Run,0.288,0.288,0.3124,1.200
2.562,0.025,0.60,0.37,0.37,0.87,Run,0.288,0.288,0.3117,1.200
2.588,0.025,0.60,0.37,0.37,0.87,Run,0.289,0.289,0.3109,1.200
2.612,0.024,0.60,0.38,0.38,0.86,Run,0.290,0.290,0.3102,1.200
2.637,0.025,0.60,0.38,0.38,0.86,Run,0.291,0.291,0.3095,1.200
2.659,0.022,0.60,0.38,0.38,0.85,Run,0.291,0.291,0.3089,1.200
2.684,0.025,0.60,0.38,0.38,0.85,Run,0.292,0.292,0.3081,1.200
2.707,0.024,0.60,0.38,0.38,0.84,Run,0.293,0.293,0.3075,1.200
2.732,0.025,0.60,0.38,0.38,0.84,Run,0.293,0.293,0.3068,1.200
2.758,0.025,0.60,0.38,0.38,0.83,Run,0.294,0.294,0.3061,1.200
2.783,0.025,0.60,0.38,0.38,0.82,Run,0.295,0.295,0.3055,1.200
2.807,0.025,0.60,0.38,0.38,0.82,Run,0.295,0.295,0.3048,1.200
2.832,0.025,0.60,0.38,0.38,0.81,Run,0.296,0.296,0.3041,1.200
2.857,0.025,0.60,0.38,0.38,0.81,Run,0.296,0.296,0.3035,1.200
2.882,0.025,0.60,0.38,0.38,0.80,Run,0.297,0.297,0.3029,1.200
2.907,0.025,0.60,0.38,0.38,0.80,Run,0.298,0.298,0.3022,1.200
2.932,0.025,0.60,0.38,0.38,0.79,Run,0.298,0.298,0.3016,1.200
2.957,0.025,0.60,0.38,0.38,0.78,Run,0.299,0.299,0.3010,1.200
2.982,0.025,0.60,0.38,0.38,0.78,Run,0.300,0.300,0.3004,1.200
3.007,0.025,0.60,0.38,0.38,0.77,Run,0.300,0.300,0.2998,1.200
3.029,0.021,0.60,0.38,0.38,0.77,Run,0.301,0.301,0.2993,1.200
3.049,0.021,0.60,0.38,0.38,0.76,Run,0.301,0.301,0.2988,1.200
3.074,0.025,0.60,0.38,0.38,0.76,Run,0.302,0.302,0.2982,1.200
3.099,0.025,0.60,0.38,0.38,0.75,Run,0.302,0.302,0.2976,1.200
3.124,0.025,0.60,0.39,0.39,0.75,Run,0.303,0.303,0.2971,1.200
3.145,0.020,0.60,0.39,0.39,0.74,Run,0.303,0.303,0.2966,1.200
3.167,0.023,0.60,0.39,0.39,0.74,Run,0.304,0.304,0.2961,1.200
3.192,0.025,0.60,0.39,0.39,0.73,Run,0.304,0.304,0.2955,1.200
3.218,0.025,0.60,0.39,0.39,0.73,Run,0.305,0.305,0.2950,1.200
3.243,0.025,0.60,0.39,0.39,0.72,Run,0.306,0.306,0.2944,1.200
3.268,0.025,0.60,0.39,0.39,0.71,Run,0.306,0.306,0.2939,1.200
3.292,0.024,0.60,0.39,0.39,0.71,Run,0.307,0.307,0.2934,1.200
3.316,0.024,0.60,0.39,0.39,0.70,Run,0.307,0.307,0.2929,1.200
3.338,0.021,0.60,0.39,0.39,0.70,Run,0.308,0.308,0.2924,1.200
3.360,0.023,0.60,0.39,0.39,0.69,Run,0.308,0.308,0.2919,1.200
3.383,0.023,0.60,0.39,0.39,0.69,Run,0.309,0.309,0.2915,1.200
3.405,0.021,0.60,0.39,0.39,0.68,Run,0.309,0.309,0.2910,1.200
3.427,0.023,0.60,0.39,0.39,0.68,Run,0.309,0.309,0.2906,1.200
3.451,0.024,0.60,0.39,0.39,0.67,Run,0.310,0.310,0.2901,1.200
3.473,0.022,0.60,0.39,0.39,0.67,Run,0.310,0.310,0.2896,1.200
3.497,0.024,0.60,0.39,0.39,0.66,Run,0.311,0.311,0.2891,1.200
3.522,0.024,0.60,0.39,0.39,0.66,Run,0.311,0.311,0.2887,1.200
3.547,0.025,0.60,0.39,0.39,0.65,Run,0.312,0.312,0.2882,1.200
3.570,0.023,0.60,0.39,0.39,0.65,Run,0.312,0.312,0.2877,1.200
3.592,0.022,0.60,0.39,0.39,0.64,Run,0.313,0.313,0.2873,1.200
3.617,0.025,0.60,0.39,0.39,0.64,Run,0.313,0.313,0.2868,1.200
3.642,0.025,0.60,0.39,0.39,0.63,Run,0.314,0.314,0.2863,1.200
3.667,0.025,0.60,0.40,0.40,0.62,Run,0.314,0.314,0.2858,1.200
3.687,0.020,0.60,0.40,0.40,0.62,Run,0.315,0.315,0.2854,1.200
3.712,0.025,0.60,0.40,0.40,0.61,Run,0.315,0.315,0.2850,1.200
3.737,0.025,0.60,0.40,0.40,0.61,Run,0.316,0.316,0.2845,1.200
3.762,0.025,0.60,0.40,0.40,0.60,Run,0.316,0.316,0.2840,1.200
3.787,0.025,0.60,0.40,0.40,0.60,Run,0.316,0.316,0.2836,1.200
3.813,0.025,0.60,0.40,0.40,0.59,Run,0.317,0.317,0.2831,1.200
3.838,0.025,0.60,0.40,0.40,0.59,Run,0.317,0.317,0.2826,1.200
