t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.40,1.00,1.00,1.00,Run,0.000,0.000,0.4000,1.200
0.023,0.023,0.41,-0.26,-0.26,1.00,Run,-0.004,-0.004,0.4121,1.200
0.044,0.022,0.42,0.61,0.61,1.00,Run,0.005,0.005,0.4119,1.200
0.070,0.025,0.43,0.12,0.12,1.00,Run,0.007,0.007,0.4196,1.200
0.095,0.025,0.44,0.39,0.39,1.00,Run,0.012,0.012,0.4232,1.200
0.123,0.028,0.45,0.26,0.26,1.00,Run,0.017,0.017,0.4296,1.200
0.148,0.025,0.46,0.33,0.33,1.00,Run,0.021,0.021,0.4343,1.200
0.173,0.025,0.46,0.30,0.30,1.00,Run,0.025,0.025,0.4395,1.200
0.205,0.032,0.48,0.34,0.34,1.00,Run,0.031,0.031,0.4455,1.200
0.230,0.026,0.49,0.33,0.33,1.00,Run,0.035,0.035,0.4507,1.200
0.253,0.023,0.49,0.34,0.34,1.00,Run,0.039,0.039,0.4551,1.200
0.278,0.025,0.50,0.34,0.34,1.00,Run,0.043,0.043,0.4599,1.200
0.303,0.025,0.51,0.35,0.35,1.00,Run,0.047,0.047,0.4646,1.200
0.328,0.025,0.52,0.36,0.36,1.00,Run,0.051,0.051,0.4692,1.200
0.353,0.024,0.53,0.36,0.36,1.00,Run,0.055,0.055,0.4737,1.200
0.378,0.025,0.54,0.37,0.37,1.00,Run,0.059,0.059,0.4781,1.200
0.403,0.025,0.55,0.38,0.38,1.00,Run,0.063,0.063,0.4824,1.200
0.424,0.022,0.55,0.38,0.38,1.00,Run,0.066,0.066,0.4861,1.200
0.449,0.024,0.56,0.39,0.39,1.00,Run,0.070,0.070,0.4901,1.200
0.473,0.024,0.57,0.39,0.39,1.00,Run,0.074,0.074,0.4939,1.200
0.498,0.025,0.58,0.40,0.40,1.00,Run,0.078,0.078,0.4977,1.200
0.520,0.022,0.58,0.40,0.40,1.00,Run,0.081,0.081,0.5010,1.200
0.543,0.023,0.59,0.41,0.41,1.00,Run,0.085,0.085,0.5042,1.200
0.564,0.022,0.60,0.42,0.42,1.00,Run,0.088,0.088,0.5072,1.200
0.589,0.025,0.60,0.43,0.43,1.00,Run,0.092,0.092,0.5105,1.200
0.613,0.023,0.61,0.43,0.43,1.00,Run,0.095,0.095,0.5133,1.200
0.638,0.025,0.62,0.44,0.44,1.00,Run,0.099,0.099,0.5162,1.200
0.663,0.025,0.62,0.44,0.44,1.00,Run,0.103,0.103,0.5190,1.200
0.688,0.025,0.63,0.45,0.45,1.00,Run,0.107,0.107,0.5215,1.200
0.713,0.025,0.63,0.45,0.45,1.00,Run,0.110,0.110,0.5238,1.200
0.734,0.022,0.64,0.45,0.45,1.00,Run,0.113,0.113,0.5257,1.200
0.759,0.025,0.64,0.46,0.46,1.00,Run,0.117,0.117,0.5277,1.200
0.783,0.023,0.65,0.46,0.46,1.00,Run,0.120,0.120,0.5294,1.200
0.808,0.025,0.65,0.47,0.47,1.00,Run,0.124,0.124,0.5309,1.200
0.833,0.025,0.66,0.47,0.47,1.00,Run,0.127,0.127,0.5323,1.200
0.853,0.020,0.66,0.48,0.48,1.00,Run,0.130,0.130,0.5333,1.200
0.878,0.025,0.67,0.48,0.48,1.00,Run,0.134,0.134,0.5342,1.200
0.903,0.025,0.67,0.49,0.49,1.00,Run,0.137,0.137,0.5350,1.200
0.928,0.025,0.68,0.49,0.49,1.00,Run,0.140,0.140,0.5355,1.200
0.952,0.025,0.68,0.49,0.49,1.00,Run,0.143,0.143,0.5358,1.200
0.974,0.021,0.68,0.50,0.50,1.00,Run,0.146,0.146,0.5359,1.200
0.994,0.021,0.68,0.50,0.50,1.00,Run,0.149,0.149,0.5358,1.200
1.019,0.025,0.69,0.50,0.50,1.00,Run,0.152,0.152,0.5355,1.200
1.040,0.022,0.69,0.50,0.50,1.00,Run,0.155,0.155,0.5350,1.200
1.064,0.024,0.69,0.51,0.51,1.00,Run,0.158,0.158,0.5343,1.200
1.089,0.025,0.69,0.51,0.51,1.00,Run,0.160,0.160,0.5334,1.200
1.114,0.025,0.70,0.51,0.51,1.00,Run,0.163,0.163,0.5322,1.200
1.139,0.025,0.70,0.52,0.52,1.00,Run,0.166,0.166,0.5307,1.200
1.163,0.024,0.70,0.52,0.52,1.00,Run,0.169,0.169,0.5291,1.200
1.188,0.025,0.70,0.52,0.52,1.00,Run,0.172,0.172,0.5272,1.200
1.213,0.025,0.70,0.52,0.52,1.00,Run,0.175,0.175,0.5251,1.200
1.235,0.022,0.70,0.52,0.52,1.00,Run,0.177,0.177,0.5230,1.200
1.260,0.025,0.70,0.53,0.53,1.00,Run,0.180,0.180,0.5203,1.200
1.284,0.024,0.70,0.53,0.53,1.00,Run,0.182,0.182,0.5177,1.200
1.307,0.023,0.70,0.53,0.53,1.00,Run,0.184,0.184,0.5148,1.200
1.332,0.025,0.70,0.53,0.53,1.00,Run,0.187,0.187,0.5115,1.200
1.357,0.025,0.70,0.53,0.53,1.00,Run,0.189,0.189,0.5080,1.200
1.382,0.025,0.70,0.53,0.53,1.00,Run,0.192,0.192,0.5043,1.200
1.407,0.025,0.69,0.53,0.53,1.00,Run,0.194,0.194,0.5003,1.200
1.432,0.025,0.69,0.53,0.53,1.00,Run,0.196,0.196,0.4962,1.200
1.457,0.025,0.69,0.53,0.53,1.00,Run,0.198,0.198,0.4918,1.200
1.481,0.024,0.69,0.53,0.53,1.00,Run,0.200,0.200,0.4875,1.200
1.506,0.025,0.68,0.53,0.53,1.00,Run,0.202,0.202,0.4826,1.200
1.531,0.025,0.68,0.53,0.53,1.00,Run,0.204,0.204,0.4776,1.200
1.555,0.024,0.68,0.53,0.53,1.00,Run,0.206,0.206,0.4726,1.200
1.580,0.025,0.67,0.53,0.53,1.00,Run,0.207,0.207,0.4672,1.200
1.604,0.024,0.67,0.52,0.52,1.00,Run,0.209,0.209,0.4618,1.200
1.628,0.024,0.67,0.52,0.52,1.00,Run,0.211,0.211,0.4562,1.200
1.653,0.025,0.66,0.52,0.52,1.00,Run,0.212,0.212,0.4502,1.200
1.677,0.024,0.66,0.52,0.52,1.00,Run,0.214,0.214,0.4442,1.200
1.702,0.025,0.65,0.52,0.52,1.00,Run,0.215,0.215,0.4379,1.200
1.727,0.025,0.65,0.52,0.52,1.00,Run,0.216,0.216,0.4313,1.200
1.753,0.025,0.64,0.51,0.51,1.00,Run,0.218,0.218,0.4246,1.200
1.778,0.025,0.64,0.51,0.51,1.00,Run,0.219,0.219,0.4177,1.200
1.803,0.025,0.63,0.51,0.51,1.00,Run,0.220,0.220,0.4107,1.200
1.828,0.025,0.62,0.51,0.51,1.00,Run,0.221,0.221,0.4035,1.200
1.853,0.025,0.62,0.50,0.50,1.00,Run,0.222,0.222,0.3962,1.200
1.878,0.025,0.61,0.50,0.50,1.00,Run,0.223,0.223,0.3888,1.200
1.903,0.025,0.60,0.50,0.50,1.00,Run,0.223,0.223,0.3812,1.200
1.928,0.025,0.60,0.49,0.49,1.00,Run,0.224,0.224,0.3734,1.200
1.949,0.021,0.59,0.49,0.49,1.00,Run,0.225,0.225,0.3668,1.200
1.973,0.024,0.58,0.49,0.49,1.00,Run,0.225,0.225,0.3592,1.200
1.998,0.025,0.58,0.48,0.48,1.00,Run,0.226,0.226,0.3511,1.200
2.023,0.025,0.57,0.48,0.48,0.99,Run,0.226,0.226,0.3432,1.200
2.048,0.025,0.56,0.48,0.48,0.99,Run,0.227,0.227,0.3349,1.200
2.073,0.025,0.55,0.47,0.47,0.98,Run,0.227,0.227,0.3266,1.200
2.098,0.025,0.55,0.47,0.47,0.98,Run,0.227,0.227,0.3182,1.200
2.123,0.025,0.54,0.46,0.46,0.97,Run,0.227,0.227,0.3098,1.200
2.148,0.025,0.53,0.46,0.46,0.97,Run,0.227,0.227,0.3012,1.200
2.173,0.025,0.52,0.45,0.45,0.96,Run,0.227,0.227,0.2927,1.200
2.198,0.025,0.51,0.45,0.45,0.96,Run,0.227,0.227,0.2841,1.200
2.223,0.025,0.50,0.44,0.44,0.95,Run,0.227,0.227,0.2755,1.200
2.248,0.025,0.49,0.44,0.44,0.94,Run,0.227,0.227,0.2668,1.200
