t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.010,0.010,2.000,1.000,1.000,599.500,Run,NaN,NaN,2.000,1.000
0.020,0.010,2.000,0.786,0.786,598.476,Run,NaN,NaN,0.976,1.000
0.030,0.010,2.000,0.964,0.964,597.670,Run,NaN,NaN,1.194,1.000
0.040,0.010,2.000,0.820,0.820,596.683,Run,NaN,NaN,1.013,1.000
0.050,0.010,2.000,0.940,0.940,595.842,Run,NaN,NaN,1.160,1.000
0.060,0.010,2.000,0.844,0.844,594.879,Run,NaN,NaN,1.037,1.000
0.070,0.010,2.000,0.925,0.925,594.014,Run,NaN,NaN,1.135,1.000
0.080,0.010,2.000,0.861,0.861,593.066,Run,NaN,NaN,1.052,1.000
0.090,0.010,2.000,0.916,0.916,592.184,Run,NaN,NaN,1.118,1.000
0.100,0.010,2.000,0.873,0.873,591.246,Run,NaN,NaN,1.062,1.000
0.110,0.010,2.000,0.910,0.910,590.352,Run,NaN,NaN,1.106,1.000
0.120,0.010,2.000,0.882,0.882,589.420,Run,NaN,NaN,1.067,1.000
0.130,0.010,2.000,0.907,0.907,588.516,Run,NaN,NaN,1.097,1.000
0.140,0.010,2.000,0.889,0.889,587.587,Run,NaN,NaN,1.071,1.000
0.150,0.010,2.000,0.906,0.906,586.677,Run,NaN,NaN,1.090,1.000
0.160,0.010,2.000,0.894,0.894,585.748,Run,NaN,NaN,1.072,1.000
0.170,0.010,2.000,0.906,0.906,584.833,Run,NaN,NaN,1.084,1.000
0.180,0.010,2.000,0.898,0.898,583.904,Run,NaN,NaN,1.072,1.000
0.190,0.010,2.000,0.907,0.907,582.984,Run,NaN,NaN,1.080,1.000
0.200,0.010,2.000,0.902,0.902,582.055,Run,NaN,NaN,1.071,1.000
0.210,0.010,2.000,0.908,0.908,581.131,Run,NaN,NaN,1.076,1.000
0.220,0.010,2.000,0.905,0.905,580.201,Run,NaN,NaN,1.070,1.000
0.230,0.010,2.000,0.910,0.910,579.274,Run,NaN,NaN,1.073,1.000
0.240,0.010,2.000,0.908,0.908,578.342,Run,NaN,NaN,1.068,1.000
0.250,0.010,2.000,0.912,0.912,577.412,Run,NaN,NaN,1.070,1.000
0.260,0.010,2.000,0.911,0.911,576.478,Run,NaN,NaN,1.066,1.000
0.270,0.010,2.000,0.914,0.914,575.545,Run,NaN,NaN,1.067,1.000
0.280,0.010,2.000,0.914,0.914,574.609,Run,NaN,NaN,1.064,1.000
0.290,0.010,2.000,0.916,0.916,573.673,Run,NaN,NaN,1.064,1.000
0.300,0.010,2.000,0.916,0.916,572.735,Run,NaN,NaN,1.062,1.000
0.310,0.010,2.000,0.918,0.918,571.797,Run,NaN,NaN,1.062,1.000
0.320,0.010,2.000,0.918,0.918,570.856,Run,NaN,NaN,1.060,1.000
0.330,0.010,2.000,0.920,0.920,569.915,Run,NaN,NaN,1.059,1.000
0.340,0.010,2.000,0.921,0.921,568.973,Run,NaN,NaN,1.057,1.000
0.350,0.010,2.000,0.922,0.922,568.029,Run,NaN,NaN,1.057,1.000
0.360,0.010,2.000,0.923,0.923,567.085,Run,NaN,NaN,1.055,1.000
0.370,0.010,2.000,0.925,0.925,566.139,Run,NaN,NaN,1.054,1.000
0.380,0.010,2.000,0.926,0.926,565.192,Run,NaN,NaN,1.053,1.000
0.390,0.010,2.000,0.927,0.927,564.243,Run,NaN,NaN,1.052,1.000
0.400,0.010,2.000,0.928,0.928,563.294,Run,NaN,NaN,1.050,1.000
0.410,0.010,2.000,0.929,0.929,562.343,Run,NaN,NaN,1.049,1.000
0.420,0.010,2.000,0.930,0.930,561.391,Run,NaN,NaN,1.048,1.000
0.430,0.010,2.000,0.932,0.932,560.438,Run,NaN,NaN,1.047,1.000
0.440,0.010,2.000,0.933,0.933,559.484,Run,NaN,NaN,1.046,1.000
0.450,0.010,2.000,0.934,0.934,558.529,Run,NaN,NaN,1.045,1.000
0.460,0.010,2.000,0.935,0.935,557.572,Run,NaN,NaN,1.043,1.000
0.470,0.010,2.000,0.936,0.936,556.615,Run,NaN,NaN,1.042,1.000
0.480,0.010,2.000,0.937,0.937,555.656,Run,NaN,NaN,1.041,1.000
0.490,0.010,2.000,0.938,0.938,554.696,Run,NaN,NaN,1.040,1.000
0.500,0.010,2.000,0.939,0.939,553.734,Run,NaN,NaN,1.039,1.000
0.510,0.010,2.000,0.941,0.941,552.772,Run,NaN,NaN,1.038,1.000
0.520,0.010,2.000,0.942,0.942,551.808,Run,NaN,NaN,1.036,1.000
0.530,0.010,2.000,0.943,0.943,550.844,Run,NaN,NaN,1.035,1.000
0.540,0.010,2.000,0.944,0.944,549.878,Run,NaN,NaN,1.034,1.000
0.550,0.010,2.000,0.945,0.945,548.911,Run,NaN,NaN,1.033,1.000
0.560,0.010,2.000,0.946,0.946,547.943,Run,NaN,NaN,1.032,1.000
0.570,0.010,2.000,0.947,0.947,546.973,Run,NaN,NaN,1.031,1.000
0.580,0.010,2.000,0.949,0.949,546.003,Run,NaN,NaN,1.029,1.000
0.590,0.010,2.000,0.950,0.950,545.031,Run,NaN,NaN,1.028,1.000
