t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.008,0.008,0.404,0.340,0.340,5.240,Run,NaN,NaN,0.404,1.200
0.017,0.008,0.408,0.037,0.037,5.237,Run,NaN,NaN,0.069,0.764
0.025,0.008,0.412,0.315,0.315,5.237,Run,NaN,NaN,0.375,1.200
0.033,0.008,0.416,0.062,0.062,5.234,Run,NaN,NaN,0.101,0.870
0.042,0.008,0.420,0.301,0.301,5.234,Run,NaN,NaN,0.358,1.200
0.050,0.008,0.424,0.082,0.082,5.231,Run,NaN,NaN,0.123,0.943
0.058,0.008,0.427,0.291,0.291,5.231,Run,NaN,NaN,0.346,1.200
0.067,0.008,0.431,0.099,0.099,5.228,Run,NaN,NaN,0.141,1.002
0.075,0.008,0.435,0.283,0.283,5.227,Run,NaN,NaN,0.336,1.200
0.083,0.008,0.439,0.116,0.116,5.225,Run,NaN,NaN,0.156,1.054
0.092,0.008,0.443,0.276,0.276,5.224,Run,NaN,NaN,0.327,1.200
0.100,0.008,0.447,0.134,0.134,5.222,Run,NaN,NaN,0.171,1.105
0.108,0.008,0.451,0.268,0.268,5.221,Run,NaN,NaN,0.317,1.200
0.117,0.008,0.455,0.153,0.153,5.218,Run,NaN,NaN,0.187,1.157
0.125,0.008,0.458,0.258,0.258,5.217,Run,NaN,NaN,0.305,1.200
0.133,0.008,0.462,0.174,0.174,5.215,Run,NaN,NaN,0.204,1.200
0.142,0.008,0.466,0.248,0.248,5.213,Run,NaN,NaN,0.293,1.200
0.150,0.008,0.470,0.189,0.189,5.211,Run,NaN,NaN,0.222,1.200
0.158,0.008,0.474,0.242,0.242,5.210,Run,NaN,NaN,0.285,1.200
0.167,0.008,0.477,0.201,0.201,5.208,Run,NaN,NaN,0.236,1.200
0.175,0.008,0.481,0.238,0.238,5.206,Run,NaN,NaN,0.281,1.200
0.183,0.008,0.485,0.210,0.210,5.204,Run,NaN,NaN,0.247,1.200
0.192,0.008,0.488,0.237,0.237,5.202,Run,NaN,NaN,0.279,1.200
0.200,0.008,0.492,0.218,0.218,5.200,Run,NaN,NaN,0.255,1.200
0.208,0.008,0.496,0.237,0.237,5.199,Run,NaN,NaN,0.279,1.200
0.217,0.008,0.499,0.224,0.224,5.197,Run,NaN,NaN,0.263,1.200
0.225,0.008,0.503,0.238,0.238,5.195,Run,NaN,NaN,0.279,1.200
0.233,0.008,0.506,0.229,0.229,5.193,Run,NaN,NaN,0.269,1.200
0.242,0.008,0.510,0.240,0.240,5.191,Run,NaN,NaN,0.281,1.200
0.250,0.008,0.513,0.234,0.234,5.189,Run,NaN,NaN,0.274,1.200
0.258,0.008,0.517,0.242,0.242,5.187,Run,NaN,NaN,0.283,1.200
0.267,0.008,0.520,0.238,0.238,5.185,Run,NaN,NaN,0.279,1.200
0.275,0.008,0.524,0.244,0.244,5.183,Run,NaN,NaN,0.286,1.200
0.283,0.008,0.527,0.242,0.242,5.181,Run,NaN,NaN,0.283,1.200
0.292,0.008,0.531,0.247,0.247,5.179,Run,NaN,NaN,0.289,1.200
0.300,0.008,0.534,0.246,0.246,5.177,Run,NaN,NaN,0.287,1.200
0.308,0.008,0.537,0.250,0.250,5.175,Run,NaN,NaN,0.292,1.200
0.317,0.008,0.541,0.250,0.250,5.173,Run,NaN,NaN,0.291,1.200
0.325,0.008,0.544,0.253,0.253,5.171,Run,NaN,NaN,0.295,1.200
0.333,0.008,0.547,0.253,0.253,5.169,Run,NaN,NaN,0.295,1.200
0.342,0.008,0.550,0.255,0.255,5.166,Run,NaN,NaN,0.298,1.200
0.350,0.008,0.553,0.256,0.256,5.164,Run,NaN,NaN,0.298,1.200
0.358,0.008,0.556,0.258,0.258,5.162,Run,NaN,NaN,0.301,1.200
0.367,0.008,0.559,0.259,0.259,5.160,Run,NaN,NaN,0.302,1.200
0.375,0.008,0.562,0.261,0.261,5.158,Run,NaN,NaN,0.304,1.200
0.383,0.008,0.565,0.262,0.262,5.156,Run,NaN,NaN,0.305,1.200
0.392,0.008,0.568,0.264,0.264,5.154,Run,NaN,NaN,0.307,1.200
0.400,0.008,0.571,0.265,0.265,5.151,Run,NaN,NaN,0.308,1.200
0.408,0.008,0.574,0.267,0.267,5.149,Run,NaN,NaN,0.310,1.200
0.417,0.008,0.577,0.268,0.268,5.147,Run,NaN,NaN,0.311,1.200
0.425,0.008,0.580,0.269,0.269,5.145,Run,NaN,NaN,0.312,1.200
0.433,0.008,0.582,0.270,0.270,5.142,Run,NaN,NaN,0.314,1.200
0.442,0.008,0.585,0.272,0.272,5.140,Run,NaN,NaN,0.315,1.200
0.450,0.008,0.588,0.273,0.273,5.138,Run,NaN,NaN,0.316,1.200
0.458,0.008,0.590,0.274,0.274,5.136,Run,NaN,NaN,0.318,1.200
0.467,0.008,0.593,0.276,0.276,5.133,Run,NaN,NaN,0.319,1.200
0.475,0.008,0.595,0.277,0.277,5.131,Run,NaN,NaN,0.320,1.200
0.483,0.008,0.598,0.278,0.278,5.129,Run,NaN,NaN,0.321,1.200
0.492,0.008,0.600,0.279,0.279,5.127,Run,NaN,NaN,0.323,1.200
0.500,0.008,0.602,0.280,0.280,5.124,Run,NaN,NaN,0.324,1.200
0.508,0.008,0.605,0.281,0.281,5.122,Run,NaN,NaN,0.325,1.200
0.517,0.008,0.607,0.282,0.282,5.120,Run,NaN,NaN,0.326,1.200
0.525,0.008,0.609,0.284,0.284,5.117,Run,NaN,NaN,0.327,1.200
0.533,0.008,0.611,0.285,0.285,5.115,Run,NaN,NaN,0.328,1.200
0.542,0.008,0.613,0.286,0.286,5.112,Run,NaN,NaN,0.329,1.200
0.550,0.008,0.615,0.287,0.287,5.110,Run,NaN,NaN,0.330,1.200
0.558,0.008,0.617,0.288,0.288,5.108,Run,NaN,NaN,0.331,1.200
0.567,0.008,0.619,0.289,0.289,5.105,Run,NaN,NaN,0.332,1.200
0.575,0.008,0.621,0.290,0.290,5.103,Run,NaN,NaN,0.333,1.200
0.583,0.008,0.623,0.290,0.290,5.100,Run,NaN,NaN,0.334,1.200
0.592,0.008,0.625,0.291,0.291,5.098,Run,NaN,NaN,0.335,1.200
0.600,0.008,0.626,0.292,0.292,5.096,Run,NaN,NaN,0.335,1.200
0.608,0.008,0.628,0.293,0.293,5.093,Run,NaN,NaN,0.336,1.200
0.617,0.008,0.629,0.294,0.294,5.091,Run,NaN,NaN,0.337,1.200
0.625,0.008,0.631,0.295,0.295,5.088,Run,NaN,NaN,0.338,1.200
0.633,0.008,0.632,0.295,0.295,5.086,Run,NaN,NaN,0.338,1.200
0.642,0.008,0.634,0.296,0.296,5.083,Run,NaN,NaN,0.339,1.200
0.650,0.008,0.635,0.297,0.297,5.081,Run,NaN,NaN,0.340,1.200
0.658,0.008,0.637,0.297,0.297,5.079,Run,NaN,NaN,0.340,1.200
0.667,0.008,0.638,0.298,0.298,5.076,Run,NaN,NaN,0.341,1.200
0.675,0.008,0.639,0.299,0.299,5.074,Run,NaN,NaN,0.341,1.200
0.683,0.008,0.640,0.299,0.299,5.071,Run,NaN,NaN,0.342,1.200
0.692,0.008,0.641,0.300,0.300,5.069,Run,NaN,NaN,0.342,1.200
0.700,0.008,0.642,0.300,0.300,5.066,Run,NaN,NaN,0.343,1.200
0.708,0.008,0.643,0.301,0.301,5.064,Run,NaN,NaN,0.343,1.200
0.717,0.008,0.644,0.301,0.301,5.061,Run,NaN,NaN,0.344,1.200
0.725,0.008,0.645,0.302,0.302,5.059,Run,NaN,NaN,0.344,1.200
0.733,0.008,0.646,0.302,0.302,5.056,Run,NaN,NaN,0.344,1.200
0.742,0.008,0.646,0.303,0.303,5.054,Run,NaN,NaN,0.345,1.200
0.750,0.008,0.647,0.303,0.303,5.051,Run,NaN,NaN,0.345,1.200
0.758,0.008,0.648,0.303,0.303,5.049,Run,NaN,NaN,0.345,1.200
0.767,0.008,0.648,0.304,0.304,5.046,Run,NaN,NaN,0.345,1.200
0.775,0.008,0.648,0.304,0.304,5.043,Run,NaN,NaN,0.345,1.200
0.783,0.008,0.649,0.304,0.304,5.041,Run,NaN,NaN,0.345,1.200
0.792,0.008,0.649,0.305,0.305,5.038,Run,NaN,NaN,0.346,1.200
0.800,0.008,0.650,0.305,0.305,5.036,Run,NaN,NaN,0.346,1.200
0.808,0.008,0.650,0.305,0.305,5.033,Run,NaN,NaN,0.346,1.200
0.817,0.008,0.650,0.305,0.305,5.031,Run,NaN,NaN,0.346,1.200
0.825,0.008,0.650,0.305,0.305,5.028,Run,NaN,NaN,0.346,1.200
0.833,0.008,0.650,0.305,0.305,5.026,Run,NaN,NaN,0.345,1.200
0.842,0.008,0.650,0.305,0.305,5.023,Run,NaN,NaN,0.345,1.200
0.850,0.008,0.650,0.305,0.305,5.021,Run,NaN,NaN,0.345,1.200
0.858,0.008,0.650,0.305,0.305,5.018,Run,NaN,NaN,0.345,1.200
0.867,0.008,0.650,0.305,0.305,5.016,Run,NaN,NaN,0.345,1.200
0.875,0.008,0.649,0.305,0.305,5.013,Run,NaN,NaN,0.344,1.200
0.883,0.008,0.649,0.305,0.305,5.010,Run,NaN,NaN,0.344,1.200
0.892,0.008,0.648,0.305,0.305,5.008,Run,NaN,NaN,0.344,1.200
0.900,0.008,0.648,0.305,0.305,5.005,Run,NaN,NaN,0.343,1.200
0.908,0.008,0.648,0.305,0.305,5.003,Run,NaN,NaN,0.343,1.200
0.917,0.008,0.647,0.305,0.305,5.000,Run,NaN,NaN,0.343,1.200
0.925,0.008,0.646,0.304,0.304,4.998,Run,NaN,NaN,0.342,1.200
0.933,0.008,0.646,0.304,0.304,4.995,Run,NaN,NaN,0.342,1.200
0.942,0.008,0.645,0.304,0.304,4.993,Run,NaN,NaN,0.341,1.200
0.950,0.008,0.644,0.304,0.304,4.990,Run,NaN,NaN,0.341,1.200
0.958,0.008,0.643,0.303,0.303,4.988,Run,NaN,NaN,0.340,1.200
0.967,0.008,0.642,0.303,0.303,4.985,Run,NaN,NaN,0.339,1.200
0.975,0.008,0.641,0.303,0.303,4.983,Run,NaN,NaN,0.339,1.200
0.983,0.008,0.640,0.302,0.302,4.980,Run,NaN,NaN,0.338,1.200
0.992,0.008,0.639,0.302,0.302,4.978,Run,NaN,NaN,0.337,1.200
1.000,0.008,0.638,0.301,0.301,4.975,Run,NaN,NaN,0.337,1.200
1.008,0.008,0.637,0.301,0.301,4.973,Run,NaN,NaN,0.336,1.200
1.017,0.008,0.635,0.300,0.300,4.970,Run,NaN,NaN,0.335,1.200
1.025,0.008,0.634,0.300,0.300,4.968,Run,NaN,NaN,0.334,1.200
1.033,0.008,0.632,0.299,0.299,4.965,Run,NaN,NaN,0.333,1.200
1.042,0.008,0.631,0.299,0.299,4.963,Run,NaN,NaN,0.332,1.200
1.050,0.008,0.629,0.298,0.298,4.960,Run,NaN,NaN,0.331,1.200
1.058,0.008,0.628,0.297,0.297,4.958,Run,NaN,NaN,0.330,1.200
1.067,0.008,0.626,0.297,0.297,4.955,Run,NaN,NaN,0.329,1.200
1.075,0.008,0.625,0.296,0.296,4.953,Run,NaN,NaN,0.328,1.200
1.083,0.008,0.623,0.295,0.295,4.950,Run,NaN,NaN,0.327,1.200
1.092,0.008,0.621,0.294,0.294,4.948,Run,NaN,NaN,0.326,1.200
1.100,0.008,0.619,0.294,0.294,4.945,Run,NaN,NaN,0.325,1.200
1.108,0.008,0.617,0.293,0.293,4.943,Run,NaN,NaN,0.324,1.200
1.117,0.008,0.615,0.292,0.292,4.940,Run,NaN,NaN,0.323,1.200
1.125,0.008,0.613,0.291,0.291,4.938,Run,NaN,NaN,0.322,1.200
1.133,0.008,0.611,0.290,0.290,4.936,Run,NaN,NaN,0.320,1.200
1.142,0.008,0.609,0.289,0.289,4.933,Run,NaN,NaN,0.319,1.200
1.150,0.008,0.607,0.289,0.289,4.931,Run,NaN,NaN,0.318,1.200
1.158,0.008,0.605,0.288,0.288,4.928,Run,NaN,NaN,0.317,1.200
1.167,0.008,0.602,0.287,0.287,4.926,Run,NaN,NaN,0.315,1.200
1.175,0.008,0.600,0.286,0.286,4.924,Run,NaN,NaN,0.314,1.200
1.183,0.008,0.598,0.285,0.285,4.921,Run,NaN,NaN,0.312,1.200
1.192,0.008,0.595,0.284,0.284,4.919,Run,NaN,NaN,0.311,1.200
1.200,0.008,0.593,0.283,0.283,4.917,Run,NaN,NaN,0.310,1.200
1.208,0.008,0.590,0.281,0.281,4.914,Run,NaN,NaN,0.308,1.200
1.217,0.008,0.588,0.280,0.280,4.912,Run,NaN,NaN,0.307,1.200
1.225,0.008,0.585,0.279,0.279,4.910,Run,NaN,NaN,0.305,1.200
1.233,0.008,0.582,0.278,0.278,4.907,Run,NaN,NaN,0.304,1.200
1.242,0.008,0.580,0.277,0.277,4.905,Run,NaN,NaN,0.302,1.200
1.250,0.008,0.577,0.276,0.276,4.903,Run,NaN,NaN,0.300,1.200
1.258,0.008,0.574,0.275,0.275,4.900,Run,NaN,NaN,0.299,1.200
1.267,0.008,0.571,0.273,0.273,4.898,Run,NaN,NaN,0.297,1.200
1.275,0.008,0.568,0.272,0.272,4.896,Run,NaN,NaN,0.296,1.200
1.283,0.008,0.565,0.271,0.271,4.893,Run,NaN,NaN,0.294,1.200
1.292,0.008,0.562,0.270,0.270,4.891,Run,NaN,NaN,0.292,1.200
1.300,0.008,0.559,0.268,0.268,4.889,Run,NaN,NaN,0.290,1.200
