t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.010,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,0.600,1.000
0.020,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.030,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.040,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.050,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.060,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.070,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.080,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.090,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.100,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.110,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.120,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.130,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.140,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.150,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.160,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.170,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.180,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.190,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.200,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.210,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.220,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.230,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.240,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.250,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.260,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.270,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.280,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.290,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.300,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.310,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.320,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.330,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.340,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.350,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.360,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.370,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.380,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.390,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.400,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.410,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.420,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.430,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.440,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.450,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.460,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.470,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.480,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.490,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.500,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.510,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.520,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.530,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.540,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.550,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.560,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.570,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.580,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
0.590,0.010,0.600,1.000,1.000,5.240,Run,NaN,NaN,1.598,1.000
0.600,0.010,0.600,-1.000,-1.000,5.230,Run,NaN,NaN,-0.398,1.000
