t,dt,desired_v,left,right,distance,state
0.000,0.000,0.80,1.00,1.00,1.00,Run
0.025,0.025,0.80,0.21,0.21,1.00,Run
0.050,0.025,0.80,0.61,0.61,1.00,Run
0.075,0.024,0.80,0.37,0.37,1.00,Run
0.100,0.025,0.80,0.49,0.49,1.00,Run
0.125,0.025,0.80,0.42,0.42,1.00,Run
0.150,0.025,0.80,0.45,0.45,1.00,Run
0.175,0.025,0.80,0.43,0.43,1.00,Run
0.195,0.021,0.80,0.44,0.44,1.00,Run
0.216,0.020,0.80,0.43,0.43,1.00,Run
0.241,0.025,0.80,0.44,0.44,1.00,Run
0.266,0.025,0.80,0.44,0.44,1.00,Run
0.291,0.025,0.80,0.44,0.44,1.00,Run
0.315,0.024,0.80,0.44,0.44,1.00,Run
0.340,0.025,0.80,0.44,0.44,1.00,Run
0.364,0.025,0.80,0.44,0.44,1.00,Run
0.390,0.025,0.80,0.45,0.45,1.00,Run
0.415,0.025,0.80,0.45,0.45,1.00,Run
0.440,0.025,0.80,0.45,0.45,1.00,Run
0.465,0.025,0.80,0.45,0.45,1.00,Run
0.490,0.025,0.80,0.46,0.46,1.00,Run
0.515,0.025,0.80,0.46,0.46,1.00,Run
0.540,0.025,0.80,0.46,0.46,1.00,Run
0.565,0.025,0.80,0.46,0.46,1.00,Run
0.589,0.025,0.80,0.46,0.46,1.00,Run
0.614,0.025,0.80,0.47,0.47,1.00,Run
0.635,0.020,0.80,0.47,0.47,1.00,Run
0.660,0.025,0.80,0.47,0.47,1.00,Run
0.685,0.025,0.80,0.47,0.47,1.00,Run
0.710,0.025,0.80,0.47,0.47,1.00,Run
0.735,0.025,0.80,0.48,0.48,1.00,Run
0.760,0.025,0.80,0.48,0.48,1.00,Run
0.785,0.025,0.80,0.48,0.48,1.00,Run
0.809,0.024,0.80,0.48,0.48,1.00,Run
0.830,0.021,0.80,0.48,0.48,1.00,Run
0.855,0.025,0.80,0.49,0.49,1.00,Run
0.879,0.024,0.80,0.49,0.49,1.00,Run
0.902,0.023,0.80,0.49,0.49,1.00,Run
0.925,0.024,0.80,0.49,0.49,1.00,Run
0.951,0.026,0.80,0.49,0.49,1.00,Run
0.977,0.026,0.80,0.50,0.50,1.00,Run
1.002,0.025,0.80,0.50,0.50,1.00,Run
1.027,0.025,0.80,0.50,0.50,1.00,Run
1.052,0.025,0.80,0.50,0.50,1.00,Run
1.077,0.025,0.80,0.50,0.50,1.00,Run
1.102,0.025,0.80,0.51,0.51,1.00,Run
1.127,0.025,0.80,0.51,0.51,1.00,Run
1.152,0.025,0.80,0.51,0.51,1.00,Run
1.177,0.025,0.80,0.51,0.51,1.00,Run
1.202,0.025,0.80,0.51,0.51,1.00,Run
1.227,0.025,0.80,0.51,0.51,1.00,Run
1.253,0.025,0.80,0.52,0.52,1.00,Run
1.275,0.022,0.80,0.52,0.52,1.00,Run
1.300,0.025,0.80,0.52,0.52,1.00,Run
1.324,0.025,0.80,0.52,0.52,1.00,Run
1.344,0.020,0.80,0.52,0.52,1.00,Run
1.370,0.025,0.80,0.53,0.53,1.00,Run
1.395,0.025,0.80,0.53,0.53,1.00,Run
1.420,0.025,0.80,0.53,0.53,1.00,Run
1.444,0.025,0.80,0.53,0.53,1.00,Run
1.466,0.022,0.80,0.53,0.53,1.00,Run
1.491,0.025,0.80,0.53,0.53,1.00,Run
1.516,0.025,0.80,0.53,0.53,1.00,Run
1.541,0.025,0.80,0.54,0.54,1.00,Run
1.565,0.023,0.80,0.54,0.54,1.00,Run
1.586,0.021,0.80,0.54,0.54,1.00,Run
1.606,0.020,0.80,0.54,0.54,1.00,Run
1.631,0.025,0.80,0.54,0.54,1.00,Run
1.655,0.023,0.80,0.54,0.54,1.00,Run
1.680,0.025,0.80,0.55,0.55,1.00,Run
1.704,0.025,0.80,0.55,0.55,1.00,Run
1.724,0.020,0.80,0.55,0.55,1.00,Run
1.745,0.020,0.80,0.55,0.55,1.00,Run
1.770,0.025,0.80,0.55,0.55,1.00,Run
1.795,0.025,0.80,0.55,0.55,1.00,Run
1.820,0.025,0.80,0.55,0.55,1.00,Run
1.845,0.025,0.80,0.56,0.56,1.00,Run
1.870,0.025,0.80,0.56,0.56,1.00,Run
1.895,0.025,0.80,0.56,0.56,1.00,Run
1.919,0.024,0.80,0.56,0.56,1.00,Run
1.944,0.025,0.80,0.56,0.56,1.00,Run
1.968,0.024,0.80,0.56,0.56,1.00,Run
1.993,0.025,0.80,0.57,0.57,1.00,Run
2.017,0.024,0.80,0.57,0.57,1.00,Run
2.043,0.025,0.80,0.57,0.57,0.99,Run
2.067,0.025,0.80,0.57,0.57,0.98,Run
2.092,0.025,0.80,0.57,0.57,0.98,Run
2.117,0.025,0.80,0.57,0.57,0.97,Run
2.138,0.021,0.80,0.57,0.57,0.97,Run
2.163,0.025,0.80,0.58,0.58,0.96,Run
2.184,0.022,0.80,0.58,0.58,0.96,Run
2.210,0.025,0.80,0.58,0.58,0.95,Run
2.235,0.025,0.80,0.58,0.58,0.95,Run
2.260,0.025,0.80,0.58,0.58,0.94,Run
2.285,0.025,0.80,0.58,0.58,0.94,Run
2.310,0.025,0.80,0.58,0.58,0.93,Run
2.335,0.025,0.80,0.58,0.58,0.92,Run
2.359,0.024,0.80,0.59,0.59,0.92,Run
2.383,0.024,0.80,0.59,0.59,0.91,Run
2.408,0.025,0.80,0.59,0.59,0.91,Run
2.429,0.021,0.80,0.59,0.59,0.90,Run
2.454,0.025,0.80,0.59,0.59,0.90,Run
2.476,0.022,0.80,0.59,0.59,0.89,Run
2.501,0.025,0.80,0.59,0.59,0.89,Run
2.524,0.024,0.80,0.59,0.59,0.88,Run
2.550,0.025,0.80,0.60,0.60,0.88,Run
2.575,0.025,0.80,0.60,0.60,0.87,Run
2.600,0.025,0.80,0.60,0.60,0.87,Run
2.625,0.025,0.80,0.60,0.60,0.86,Run
2.649,0.024,0.80,0.60,0.60,0.85,Run
2.671,0.022,0.80,0.60,0.60,0.85,Run
2.696,0.025,0.80,0.60,0.60,0.84,Run
2.720,0.024,0.80,0.60,0.60,0.84,Run
2.745,0.025,0.80,0.61,0.61,0.83,Run
2.770,0.025,0.80,0.61,0.61,0.83,Run
2.790,0.020,0.80,0.61,0.61,0.82,Run
2.814,0.025,0.80,0.61,0.61,0.82,Run
2.840,0.025,0.80,0.61,0.61,0.81,Run
2.860,0.020,0.80,0.61,0.61,0.81,Run
2.884,0.025,0.80,0.61,0.61,0.80,Run
