t,dt,desired_v,left,right,distance,state
0.000,0.000,0.60,1.00,1.00,1.00,Run
0.025,0.025,0.60,0.01,0.01,1.00,Run
0.048,0.023,0.60,0.53,0.53,1.00,Run
0.069,0.021,0.60,0.20,0.20,1.00,Run
0.094,0.025,0.60,0.40,0.40,1.00,Run
0.119,0.025,0.60,0.29,0.29,1.00,Run
0.140,0.020,0.60,0.34,0.34,1.00,Run
0.165,0.025,0.60,0.32,0.32,1.00,Run
0.186,0.021,0.60,0.33,0.33,1.00,Run
0.211,0.025,0.60,0.32,0.32,1.00,Run
0.236,0.025,0.60,0.33,0.33,1.00,Run
0.261,0.025,0.60,0.33,0.33,1.00,Run
0.286,0.025,0.60,0.33,0.33,1.00,Run
0.309,0.024,0.60,0.33,0.33,1.00,Run
0.335,0.025,0.60,0.33,0.33,1.00,Run
0.360,0.025,0.60,0.33,0.33,1.00,Run
0.385,0.025,0.60,0.33,0.33,1.00,Run
0.410,0.025,0.60,0.34,0.34,1.00,Run
0.435,0.025,0.60,0.34,0.34,1.00,Run
0.459,0.024,0.60,0.34,0.34,1.00,Run
0.484,0.025,0.60,0.34,0.34,1.00,Run
0.509,0.024,0.60,0.34,0.34,1.00,Run
0.530,0.021,0.60,0.34,0.34,1.00,Run
0.555,0.025,0.60,0.35,0.35,1.00,Run
0.580,0.025,0.60,0.35,0.35,1.00,Run
0.605,0.025,0.60,0.35,0.35,1.00,Run
0.628,0.023,0.60,0.35,0.35,1.00,Run
0.649,0.021,0.60,0.35,0.35,1.00,Run
0.673,0.023,0.60,0.35,0.35,1.00,Run
0.698,0.025,0.60,0.35,0.35,1.00,Run
0.719,0.021,0.60,0.35,0.35,1.00,Run
0.743,0.024,0.60,0.36,0.36,1.00,Run
0.765,0.021,0.60,0.36,0.36,1.00,Run
0.790,0.025,0.60,0.36,0.36,1.00,Run
0.812,0.022,0.60,0.36,0.36,1.00,Run
0.836,0.024,0.60,0.36,0.36,1.00,Run
0.859,0.023,0.60,0.36,0.36,1.00,Run
0.881,0.022,0.60,0.36,0.36,1.00,Run
0.903,0.023,0.60,0.37,0.37,1.00,Run
0.924,0.020,0.60,0.37,0.37,1.00,Run
0.949,0.025,0.60,0.37,0.37,1.00,Run
0.974,0.025,0.60,0.37,0.37,1.00,Run
0.999,0.025,0.60,0.37,0.37,1.00,Run
1.023,0.024,0.60,0.37,0.37,1.00,Run
1.048,0.025,0.60,0.38,0.38,1.00,Run
1.070,0.022,0.60,0.38,0.38,1.00,Run
1.095,0.025,0.60,0.38,0.38,1.00,Run
1.119,0.024,0.60,0.38,0.38,1.00,Run
1.144,0.025,0.60,0.38,0.38,1.00,Run
1.169,0.025,0.60,0.38,0.38,1.00,Run
1.191,0.022,0.60,0.38,0.38,1.00,Run
1.214,0.023,0.60,0.38,0.38,1.00,Run
1.239,0.025,0.60,0.39,0.39,1.00,Run
1.264,0.025,0.60,0.39,0.39,1.00,Run
1.290,0.025,0.60,0.39,0.39,1.00,Run
1.315,0.025,0.60,0.39,0.39,1.00,Run
1.339,0.025,0.60,0.39,0.39,1.00,Run
1.364,0.025,0.60,0.39,0.39,1.00,Run
1.389,0.025,0.60,0.39,0.39,1.00,Run
1.409,0.021,0.60,0.39,0.39,1.00,Run
1.434,0.025,0.60,0.40,0.40,1.00,Run
1.454,0.020,0.60,0.40,0.40,1.00,Run
1.479,0.025,0.60,0.40,0.40,1.00,Run
1.501,0.022,0.60,0.40,0.40,1.00,Run
1.526,0.025,0.60,0.40,0.40,1.00,Run
1.551,0.024,0.60,0.40,0.40,1.00,Run
1.576,0.025,0.60,0.40,0.40,1.00,Run
1.599,0.024,0.60,0.40,0.40,1.00,Run
1.623,0.023,0.60,0.41,0.41,1.00,Run
1.643,0.020,0.60,0.41,0.41,1.00,Run
1.668,0.025,0.60,0.41,0.41,1.00,Run
1.688,0.020,0.60,0.41,0.41,1.00,Run
1.714,0.025,0.60,0.41,0.41,1.00,Run
1.739,0.025,0.60,0.41,0.41,1.00,Run
1.759,0.021,0.60,0.41,0.41,1.00,Run
1.784,0.025,0.60,0.41,0.41,1.00,Run
1.809,0.025,0.60,0.41,0.41,1.00,Run
1.836,0.026,0.60,0.42,0.42,1.00,Run
1.864,0.029,0.60,0.42,0.42,1.00,Run
1.889,0.025,0.60,0.42,0.42,1.00,Run
1.914,0.025,0.60,0.42,0.42,1.00,Run
1.939,0.025,0.60,0.42,0.42,1.00,Run
1.961,0.021,0.60,0.42,0.42,1.00,Run
1.982,0.021,0.60,0.42,0.42,1.00,Run
2.007,0.025,0.60,0.42,0.42,1.00,Run
2.031,0.024,0.60,0.42,0.42,0.99,Run
2.056,0.025,0.60,0.43,0.43,0.99,Run
2.081,0.025,0.60,0.43,0.43,0.98,Run
2.106,0.025,0.60,0.43,0.43,0.98,Run
2.129,0.023,0.60,0.43,0.43,0.97,Run
2.149,0.020,0.60,0.43,0.43,0.97,Run
2.169,0.020,0.60,0.43,0.43,0.96,Run
2.194,0.025,0.60,0.43,0.43,0.96,Run
2.219,0.025,0.60,0.43,0.43,0.95,Run
2.244,0.025,0.60,0.43,0.43,0.95,Run
2.269,0.025,0.60,0.44,0.44,0.94,Run
2.290,0.021,0.60,0.44,0.44,0.93,Run
2.315,0.025,0.60,0.44,0.44,0.93,Run
2.340,0.024,0.60,0.44,0.44,0.92,Run
2.364,0.024,0.60,0.44,0.44,0.92,Run
2.386,0.022,0.60,0.44,0.44,0.91,Run
2.408,0.022,0.60,0.44,0.44,0.91,Run
2.433,0.025,0.60,0.44,0.44,0.90,Run
2.456,0.023,0.60,0.44,0.44,0.90,Run
2.479,0.023,0.60,0.44,0.44,0.89,Run
2.503,0.024,0.60,0.44,0.44,0.89,Run
2.528,0.025,0.60,0.45,0.45,0.88,Run
2.553,0.025,0.60,0.45,0.45,0.88,Run
2.579,0.025,0.60,0.45,0.45,0.87,Run
2.599,0.021,0.60,0.45,0.45,0.87,Run
2.624,0.025,0.60,0.45,0.45,0.86,Run
2.649,0.025,0.60,0.45,0.45,0.85,Run
2.674,0.025,0.60,0.45,0.45,0.85,Run
2.700,0.026,0.60,0.45,0.45,0.84,Run
2.727,0.026,0.60,0.45,0.45,0.84,Run
2.747,0.021,0.60,0.45,0.45,0.83,Run
2.770,0.023,0.60,0.45,0.45,0.83,Run
2.795,0.025,0.60,0.46,0.46,0.82,Run
2.820,0.025,0.60,0.46,0.46,0.82,Run
2.845,0.025,0.60,0.46,0.46,0.81,Run
